season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,8,Austrian Grand Prix,RUS,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,8,Austrian Grand Prix,VER,Red Bull Racing,5.0,2.0,3.0,18.0,1,0,1,0,finished
2026,8,Austrian Grand Prix,ANT,Mercedes,4.0,3.0,1.0,15.0,1,0,1,0,finished
2026,8,Austrian Grand Prix,PIA,McLaren,7.0,4.0,3.0,12.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,HAM,Ferrari,3.0,5.0,-2.0,10.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,HAD,Red Bull Racing,8.0,6.0,2.0,8.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,NOR,McLaren,6.0,7.0,-1.0,6.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,LEC,Ferrari,2.0,8.0,-6.0,4.0,0,0,1,0,finished
2026,8,Austrian Grand Prix,LAW,Racing Bulls,9.0,9.0,0.0,2.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,LIN,Racing Bulls,10.0,10.0,0.0,1.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,BOR,Audi,12.0,11.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,HUL,Audi,14.0,12.0,2.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,GAS,Alpine,11.0,13.0,-2.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,BEA,Haas F1 Team,13.0,14.0,-1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,COL,Alpine,16.0,15.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,OCO,Haas F1 Team,15.0,16.0,-1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,ALB,Williams,18.0,17.0,1.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,ALO,Aston Martin,21.0,18.0,3.0,0.0,0,0,1,0,lapped
2026,8,Austrian Grand Prix,STR,Aston Martin,22.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,SAI,Williams,17.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,PER,Cadillac,19.0,,,0.0,0,0,0,1,retired
2026,8,Austrian Grand Prix,BOT,Cadillac,20.0,,,0.0,0,0,0,1,retired
