season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,9,British Grand Prix,LEC,Ferrari,2.0,1.0,1.0,25.0,1,1,1,0,finished
2026,9,British Grand Prix,RUS,Mercedes,4.0,2.0,2.0,18.0,1,0,1,0,finished
2026,9,British Grand Prix,HAM,Ferrari,3.0,3.0,0.0,15.0,1,0,1,0,finished
2026,9,British Grand Prix,NOR,McLaren,6.0,4.0,2.0,12.0,0,0,1,0,finished
2026,9,British Grand Prix,HAD,Red Bull Racing,5.0,5.0,0.0,10.0,0,0,1,0,finished
2026,9,British Grand Prix,LAW,Racing Bulls,10.0,6.0,4.0,8.0,0,0,1,0,finished
2026,9,British Grand Prix,LIN,Racing Bulls,9.0,7.0,2.0,6.0,0,0,1,0,finished
2026,9,British Grand Prix,BOR,Audi,11.0,8.0,3.0,4.0,0,0,1,0,finished
2026,9,British Grand Prix,COL,Alpine,19.0,9.0,10.0,2.0,0,0,1,0,finished
2026,9,British Grand Prix,GAS,Alpine,15.0,10.0,5.0,1.0,0,0,1,0,finished
2026,9,British Grand Prix,PIA,McLaren,8.0,11.0,-3.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,BEA,Haas F1 Team,13.0,12.0,1.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,OCO,Haas F1 Team,17.0,13.0,4.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,PER,Cadillac,20.0,14.0,6.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,ANT,Mercedes,1.0,15.0,-14.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,BOT,Cadillac,18.0,16.0,2.0,0.0,0,0,1,0,finished
2026,9,British Grand Prix,SAI,Williams,14.0,17.0,-3.0,0.0,0,0,1,0,lapped
2026,9,British Grand Prix,ALO,Aston Martin,21.0,18.0,3.0,0.0,0,0,1,0,lapped
2026,9,British Grand Prix,STR,Aston Martin,22.0,19.0,3.0,0.0,0,0,1,0,lapped
2026,9,British Grand Prix,VER,Red Bull Racing,7.0,,,0.0,0,0,0,1,retired
2026,9,British Grand Prix,ALB,Williams,16.0,,,0.0,0,0,0,1,retired
2026,9,British Grand Prix,HUL,Audi,12.0,,,0.0,0,0,0,1,retired
