season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,5,Canadian Grand Prix,ANT,Mercedes,2.0,1.0,1.0,25.0,1,1,1,0,finished
2026,5,Canadian Grand Prix,HAM,Ferrari,5.0,2.0,3.0,18.0,1,0,1,0,finished
2026,5,Canadian Grand Prix,VER,Red Bull Racing,6.0,3.0,3.0,15.0,1,0,1,0,finished
2026,5,Canadian Grand Prix,LEC,Ferrari,8.0,4.0,4.0,12.0,0,0,1,0,finished
2026,5,Canadian Grand Prix,HAD,Red Bull Racing,7.0,5.0,2.0,10.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,COL,Alpine,10.0,6.0,4.0,8.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,LAW,Racing Bulls,12.0,7.0,5.0,6.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,GAS,Alpine,14.0,8.0,6.0,4.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,SAI,Williams,15.0,9.0,6.0,2.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,BEA,Haas F1 Team,16.0,10.0,6.0,1.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,PIA,McLaren,4.0,11.0,-7.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,HUL,Audi,11.0,12.0,-1.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,BOR,Audi,13.0,13.0,0.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,OCO,Haas F1 Team,17.0,14.0,3.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,STR,Aston Martin,22.0,15.0,7.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,BOT,Cadillac,21.0,16.0,5.0,0.0,0,0,1,0,lapped
2026,5,Canadian Grand Prix,PER,Cadillac,20.0,,,0.0,0,0,0,1,retired
2026,5,Canadian Grand Prix,NOR,McLaren,3.0,,,0.0,0,0,0,1,retired
2026,5,Canadian Grand Prix,RUS,Mercedes,1.0,,,0.0,0,0,0,1,retired
2026,5,Canadian Grand Prix,ALO,Aston Martin,19.0,,,0.0,0,0,0,1,retired
2026,5,Canadian Grand Prix,ALB,Williams,18.0,,,0.0,0,0,0,1,retired
2026,5,Canadian Grand Prix,LIN,Racing Bulls,9.0,,,0.0,0,0,0,1,did not start
