season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,2,Chinese Grand Prix,ANT,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,2,Chinese Grand Prix,RUS,Mercedes,2.0,2.0,0.0,18.0,1,0,1,0,finished
2026,2,Chinese Grand Prix,HAM,Ferrari,3.0,3.0,0.0,15.0,1,0,1,0,finished
2026,2,Chinese Grand Prix,LEC,Ferrari,4.0,4.0,0.0,12.0,0,0,1,0,finished
2026,2,Chinese Grand Prix,BEA,Haas F1 Team,10.0,5.0,5.0,10.0,0,0,1,0,finished
2026,2,Chinese Grand Prix,GAS,Alpine,7.0,6.0,1.0,8.0,0,0,1,0,finished
2026,2,Chinese Grand Prix,LAW,Racing Bulls,14.0,7.0,7.0,6.0,0,0,1,0,finished
2026,2,Chinese Grand Prix,HAD,Red Bull Racing,9.0,8.0,1.0,4.0,0,0,1,0,finished
2026,2,Chinese Grand Prix,SAI,Williams,17.0,9.0,8.0,2.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,COL,Alpine,12.0,10.0,2.0,1.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,HUL,Audi,11.0,11.0,0.0,0.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,LIN,Racing Bulls,15.0,12.0,3.0,0.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,BOT,Cadillac,19.0,13.0,6.0,0.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,OCO,Haas F1 Team,13.0,14.0,-1.0,0.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,PER,Cadillac,21.0,15.0,6.0,0.0,0,0,1,0,lapped
2026,2,Chinese Grand Prix,VER,Red Bull Racing,8.0,,,0.0,0,0,0,1,retired
2026,2,Chinese Grand Prix,ALO,Aston Martin,18.0,,,0.0,0,0,0,1,retired
2026,2,Chinese Grand Prix,STR,Aston Martin,20.0,,,0.0,0,0,0,1,retired
2026,2,Chinese Grand Prix,PIA,McLaren,5.0,,,0.0,0,0,0,1,did not start
2026,2,Chinese Grand Prix,NOR,McLaren,6.0,,,0.0,0,0,0,1,did not start
2026,2,Chinese Grand Prix,BOR,Audi,16.0,,,0.0,0,0,0,1,did not start
2026,2,Chinese Grand Prix,ALB,Williams,22.0,,,0.0,0,0,0,1,did not start
