season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,3,Japanese Grand Prix,ANT,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,3,Japanese Grand Prix,PIA,McLaren,3.0,2.0,1.0,18.0,1,0,1,0,finished
2026,3,Japanese Grand Prix,LEC,Ferrari,4.0,3.0,1.0,15.0,1,0,1,0,finished
2026,3,Japanese Grand Prix,RUS,Mercedes,2.0,4.0,-2.0,12.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,NOR,McLaren,5.0,5.0,0.0,10.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,HAM,Ferrari,6.0,6.0,0.0,8.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,GAS,Alpine,7.0,7.0,0.0,6.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,VER,Red Bull Racing,11.0,8.0,3.0,4.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,LAW,Racing Bulls,14.0,9.0,5.0,2.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,OCO,Haas F1 Team,12.0,10.0,2.0,1.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,HUL,Audi,13.0,11.0,2.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,HAD,Red Bull Racing,8.0,12.0,-4.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,BOR,Audi,9.0,13.0,-4.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,LIN,Racing Bulls,10.0,14.0,-4.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,SAI,Williams,16.0,15.0,1.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,COL,Alpine,15.0,16.0,-1.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,PER,Cadillac,19.0,17.0,2.0,0.0,0,0,1,0,finished
2026,3,Japanese Grand Prix,ALO,Aston Martin,21.0,18.0,3.0,0.0,0,0,1,0,lapped
2026,3,Japanese Grand Prix,BOT,Cadillac,20.0,19.0,1.0,0.0,0,0,1,0,lapped
2026,3,Japanese Grand Prix,ALB,Williams,17.0,20.0,-3.0,0.0,0,0,1,0,lapped
2026,3,Japanese Grand Prix,STR,Aston Martin,22.0,,,0.0,0,0,0,1,retired
2026,3,Japanese Grand Prix,BEA,Haas F1 Team,18.0,,,0.0,0,0,0,1,retired
