season,round,race,driver,team,grid_position,position,positions_gained,points,podium,winner,finished_race,dnf_flag,status
2026,6,Monaco Grand Prix,ANT,Mercedes,1.0,1.0,0.0,25.0,1,1,1,0,finished
2026,6,Monaco Grand Prix,HAM,Ferrari,3.0,2.0,1.0,18.0,1,0,1,0,finished
2026,6,Monaco Grand Prix,HAD,Red Bull Racing,5.0,3.0,2.0,15.0,1,0,1,0,finished
2026,6,Monaco Grand Prix,PIA,McLaren,7.0,4.0,3.0,12.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,LAW,Racing Bulls,10.0,5.0,5.0,10.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,LIN,Racing Bulls,15.0,6.0,9.0,8.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,GAS,Alpine,9.0,7.0,2.0,6.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,ALB,Williams,11.0,8.0,3.0,4.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,OCO,Haas F1 Team,17.0,9.0,8.0,2.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,ALO,Aston Martin,21.0,10.0,11.0,1.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,BOR,Audi,16.0,11.0,5.0,0.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,RUS,Mercedes,6.0,12.0,-6.0,0.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,HUL,Audi,13.0,13.0,0.0,0.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,COL,Alpine,14.0,14.0,0.0,0.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,PER,Cadillac,18.0,15.0,3.0,0.0,0,0,1,0,finished
2026,6,Monaco Grand Prix,SAI,Williams,12.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,LEC,Ferrari,4.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,STR,Aston Martin,22.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,NOR,McLaren,8.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,BEA,Haas F1 Team,19.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,BOT,Cadillac,20.0,,,0.0,0,0,0,1,retired
2026,6,Monaco Grand Prix,VER,Red Bull Racing,2.0,,,0.0,0,0,0,1,retired
