driver,team,races,points,wins,podiums,avg_finish,best_finish,worst_finish,avg_grid,positions_gained_avg,dnfs,consistency_score
ALB,Williams,5,1.0,0,0,14.0,10.0,20.0,17.4,1.6666666666666667,2,0.15894454156034005
ALO,Aston Martin,5,0.0,0,0,16.5,15.0,18.0,18.4,2.5,3,0.32037724101704074
ANT,Mercedes,5,118.0,4,5,1.2,1.0,2.0,1.4,0.2,0,0.6909830056250527
BEA,Haas F1 Team,5,17.0,0,0,8.25,5.0,11.0,13.6,4.25,1,0.2663977630850204
BOR,Audi,5,2.0,0,0,11.75,9.0,13.0,13.8,1.5,1,0.3456655930064869
BOT,Cadillac F1 Team,5,0.0,0,0,16.5,13.0,19.0,19.6,3.25,1,0.27429188517743175
COL,Alpine F1 Team,5,15.0,0,0,10.6,6.0,16.0,12.2,1.6,0,0.18740992571549211
GAS,Alpine F1 Team,5,19.0,0,0,7.75,6.0,10.0,10.2,2.75,1,0.3693000666051825
HAD,Red Bull Racing,5,14.0,0,0,8.333333333333334,5.0,12.0,9.8,-0.3333333333333333,2,0.2216368750839041
HAM,Ferrari,5,61.0,0,2,4.2,2.0,6.0,5.4,1.2,0,0.3585701736362872
HUL,Audi,5,0.0,0,0,11.333333333333334,11.0,12.0,11.2,0.3333333333333333,2,0.6339745962155614
LAW,RB F1 Team,5,14.0,0,0,9.0,7.0,13.0,11.8,3.0,1,0.2612038749637414
LEC,Ferrari,5,58.0,0,2,4.4,3.0,8.0,4.6,0.2,0,0.3253467076765976
LIN,RB F1 Team,5,4.0,0,0,12.0,8.0,14.0,11.8,0.5,1,0.2612038749637415
NOR,McLaren,5,38.0,0,1,4.0,2.0,5.0,4.8,1.0,2,0.36602540378443865
OCO,Haas F1 Team,5,1.0,0,0,12.4,10.0,14.0,13.8,1.4,0,0.3550392228080413
PER,Cadillac F1 Team,5,0.0,0,0,16.0,15.0,17.0,19.6,3.5,1,0.5505102572168219
PIA,McLaren,5,33.0,0,2,5.333333333333333,2.0,11.0,4.8,-0.6666666666666666,2,0.16855212267069633
RUS,Mercedes,5,67.0,1,2,2.75,1.0,4.0,2.2,-0.25,1,0.4
SAI,Williams,5,6.0,0,0,11.4,9.0,15.0,16.4,5.0,0,0.23329952500316292
STR,Aston Martin,5,0.0,0,0,16.333333333333332,15.0,17.0,20.8,4.333333333333333,2,0.4641016151377546
VER,Red Bull Racing,5,37.0,0,1,5.5,3.0,8.0,9.4,4.25,1,0.32449979983983984
