team,races,points,wins,podiums,avg_finish,avg_grid,dnfs,reliability_score
Alpine F1 Team,9,53.0,0,0,9.823529411764707,12.38888888888889,1,0.9444444444444444
Aston Martin,9,1.0,0,0,16.333333333333332,20.444444444444443,9,0.5
Audi,9,6.0,0,0,11.307692307692308,12.444444444444445,5,0.7222222222222222
Cadillac F1 Team,9,0.0,0,0,15.75,19.444444444444443,6,0.6666666666666667
Ferrari,9,216.0,2,8,3.9375,4.388888888888889,2,0.8888888888888888
Haas F1 Team,9,20.0,0,0,11.466666666666667,14.61111111111111,3,0.8333333333333334
McLaren,9,138.0,0,4,5.076923076923077,5.611111111111111,5,0.7222222222222222
Mercedes,9,286.0,7,12,3.3125,2.1666666666666665,2,0.8888888888888888
RB F1 Team,9,56.0,0,0,9.125,11.11111111111111,2,0.8888888888888888
Red Bull Racing,9,122.0,0,3,5.615384615384615,7.722222222222222,5,0.7222222222222222
Williams,9,11.0,0,0,13.153846153846153,16.166666666666668,5,0.7222222222222222
