driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.7241023546843988,3
RUS,MERCEDES,2.0,1.3332395730268338,3
HAM,MERCEDES,3.0,1.1079966141055364,3
ALO,ASTON MARTIN,4.0,1.0500296761478534,3
SAI,FERRARI,5.0,0.833067708363361,3
STR,ASTON MARTIN,6.0,0.7701321757235666,3
LEC,FERRARI,7.0,0.669104083854464,3
ALB,WILLIAMS,8.0,0.2716165092874643,3
GAS,ALPINE,9.0,0.16230742628153288,3
HUL,HAAS F1 TEAM,10.0,0.06293553263977708,3
OCO,ALPINE,11.0,0.00828099113681139,2
TSU,ALPHATAURI,12.0,-0.5399206221201924,2
NOR,MCLAREN,13.0,-0.5730445866674365,2
MAG,HAAS F1 TEAM,14.0,-0.5896065689410703,2
DEV,ALPHATAURI,15.0,-0.9307834037777338,2
PIA,MCLAREN,16.0,-1.2322114811577187,1
ZHO,ALFA ROMEO,17.0,-1.270304040387074,1
SAR,WILLIAMS,18.0,-1.2984594102522304,1
BOT,ALFA ROMEO,19.0,-1.5584825319481423,1
PER,RED BULL RACING,20.0,0.0,1
