driver,team,qualifying_position,gap_to_pole_norm,quali_stage
LEC,FERRARI,1.0,0.7095560872573361,3
VER,RED BULL RACING,2.0,0.650832480810611,3
PER,RED BULL RACING,3.0,0.6183470814996572,3
SAI,FERRARI,4.0,0.455607725336128,3
HAM,MERCEDES,5.0,0.40531782832590074,3
ALO,ASTON MARTIN,6.0,0.38157849806020566,3
NOR,MCLAREN,7.0,0.372832429014947,3
TSU,ALPHATAURI,8.0,0.2791245463871961,3
STR,ASTON MARTIN,9.0,0.26975375812442054,3
PIA,MCLAREN,10.0,0.26975375812442054,3
RUS,MERCEDES,11.0,0.2563222949477786,2
OCO,ALPINE,12.0,0.211342511286456,2
ALB,WILLIAMS,13.0,0.2050953191112738,2
BOT,ALFA ROMEO,14.0,0.06734473164847785,2
SAR,WILLIAMS,15.0,0.02486382485723171,2
ZHO,ALFA ROMEO,16.0,-0.052288998506283914,1
HUL,HAAS F1 TEAM,17.0,-0.08758563429607029,1
MAG,HAAS F1 TEAM,18.0,-0.29436769529464457,1
GAS,ALPINE,19.0,-0.7429160934728143,1
DEV,ALPHATAURI,20.0,-3.0,1
