driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.5962688988133045,3
PER,RED BULL RACING,2.0,1.4357814239216795,3
LEC,FERRARI,3.0,1.2566867055643702,3
SAI,FERRARI,4.0,1.0775919872070607,3
ALO,ASTON MARTIN,5.0,0.8659345927847784,3
RUS,MERCEDES,6.0,0.861282781918349,3
HAM,MERCEDES,7.0,0.8101128623876915,3
STR,ASTON MARTIN,8.0,0.2844582344818119,3
OCO,ALPINE,9.0,0.11234123242413832,3
HUL,HAAS F1 TEAM,10.0,0.3158579578301733,2
NOR,MCLAREN,11.0,-0.34935099606842357,2
BOT,ALFA ROMEO,12.0,-0.4214540644979886,2
ZHO,ALFA ROMEO,13.0,-0.4563426459961679,2
TSU,ALPHATAURI,14.0,-1.6623246131165277,2
ALB,WILLIAMS,15.0,-0.44238721339689624,1
SAR,WILLIAMS,16.0,-0.6645111822686324,1
MAG,HAAS F1 TEAM,17.0,-0.9436198342540503,1
PIA,MCLAREN,18.0,-1.186676952024694,1
DEV,ALPHATAURI,19.0,-1.209936006356808,1
GAS,ALPINE,20.0,-1.2797131693531667,1
