driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.0704123271221222,3
LEC,FERRARI,2.0,0.9360516327323395,3
PER,RED BULL RACING,3.0,0.9267119259271956,3
HAM,MERCEDES,4.0,0.9198300367023527,3
SAI,FERRARI,5.0,0.9091794938543825,3
PIA,MCLAREN,6.0,0.8742784842141104,3
NOR,MCLAREN,7.0,0.824466714586678,3
RUS,MERCEDES,8.0,0.8021825018586146,3
ALO,ASTON MARTIN,9.0,0.7959560306551862,3
STR,ASTON MARTIN,10.0,0.6324292343124995,3
TSU,ALPHATAURI,11.0,-0.07329212024457288,2
GAS,ALPINE,12.0,-0.15898802654440014,2
MAG,HAAS F1 TEAM,13.0,-0.23911287966220865,2
BOT,ALFA ROMEO,14.0,-0.32661118552092255,2
OCO,ALPINE,15.0,-0.6015590455039188,2
ALB,WILLIAMS,16.0,-1.2474735056070005,1
ZHO,ALFA ROMEO,17.0,-1.3323501393800592,1
SAR,WILLIAMS,18.0,-1.4475398566434963,1
RIC,ALPHATAURI,19.0,-1.5497850679840162,1
HUL,HAAS F1 TEAM,20.0,-1.7147865548748835,1
