driver,team,qualifying_position,gap_to_pole_norm,quali_stage
LEC,FERRARI,1.0,1.3233506599282363,3
SAI,FERRARI,2.0,1.2743067104341632,3
VER,RED BULL RACING,3.0,0.9020185483654883,3
RUS,MERCEDES,4.0,0.8931014666392976,3
GAS,ALPINE,5.0,0.7515427942359298,3
ALB,WILLIAMS,6.0,0.6579134361108872,3
SAR,WILLIAMS,7.0,0.4461327451137254,3
BOT,ALFA ROMEO,8.0,0.4327571225244313,3
MAG,HAAS F1 TEAM,9.0,0.41938149993513724,3
ALO,ASTON MARTIN,10.0,0.39931806605119613,3
HAM,MERCEDES,11.0,0.0849909352028009,2
PER,RED BULL RACING,12.0,0.06492750131885977,2
HUL,HAAS F1 TEAM,13.0,-0.07328726543716857,2
STR,ASTON MARTIN,14.0,-0.3185070129075496,2
RIC,ALPHATAURI,15.0,-0.4400022514269762,2
NOR,MCLAREN,16.0,-0.8802831616578854,1
OCO,ALPINE,17.0,-1.0263003749243407,1
ZHO,ALFA ROMEO,18.0,-1.0430199031609582,1
PIA,MCLAREN,19.0,-1.0441345383767222,1
TSU,ALPHATAURI,20.0,-2.824206977968552,1
