driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PER,RED BULL RACING,1.0,1.9738269691607138,3
ALO,ASTON MARTIN,2.0,1.2827673863200364,3
SAI,FERRARI,3.0,1.0013663927533265,3
MAG,HAAS F1 TEAM,4.0,0.20119213893782958,3
GAS,ALPINE,5.0,0.16482058194620497,3
RUS,MERCEDES,6.0,0.13036331742783233,3
LEC,FERRARI,7.0,0.02124864645298566,3
OCO,ALPINE,8.0,-0.12040899656698165,3
VER,RED BULL RACING,9.0,2.0255128659382726,2
BOT,ALFA ROMEO,10.0,0.5897935110061341,2
ALB,WILLIAMS,11.0,0.14759194968701864,2
HUL,HAAS F1 TEAM,12.0,-0.05915163742321715,2
HAM,MERCEDES,13.0,-0.19698069549668049,2
ZHO,ALFA ROMEO,14.0,-0.4190386223928506,2
DEV,ALPHATAURI,15.0,-1.0009835342586815,2
NOR,MCLAREN,16.0,-0.9990692417854566,1
TSU,ALPHATAURI,17.0,-1.06606947834895,1
STR,ASTON MARTIN,18.0,-1.1560412245913583,1
PIA,MCLAREN,19.0,-1.1713555643772926,1
SAR,WILLIAMS,20.0,-1.3493847643888846,1
