driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.322082377313272,3
ALO,ASTON MARTIN,2.0,1.2096729237029489,3
LEC,FERRARI,3.0,1.1802323525192866,3
OCO,ALPINE,4.0,1.0704993144711268,3
SAI,FERRARI,5.0,0.967457315328337,3
HAM,MERCEDES,6.0,0.8403275761261922,3
GAS,ALPINE,7.0,0.5619803576625289,3
RUS,MERCEDES,8.0,0.520495916449208,3
TSU,ALPHATAURI,9.0,0.36258739828233827,3
NOR,MCLAREN,10.0,0.13241565993738474,3
PIA,MCLAREN,11.0,-0.05627163719420993,2
DEV,ALPHATAURI,12.0,-0.10043249396969399,2
ALB,WILLIAMS,13.0,-0.23291506429614617,2
STR,ASTON MARTIN,14.0,-0.3613830112793725,2
BOT,ALFA ROMEO,15.0,-0.3640594268415167,2
SAR,WILLIAMS,16.0,-1.0171048240062253,1
MAG,HAAS F1 TEAM,17.0,-1.2272034456350307,1
HUL,HAAS F1 TEAM,18.0,-1.2392473156647081,1
ZHO,ALFA ROMEO,19.0,-1.5657700142470623,1
PER,RED BULL RACING,20.0,-2.003363958658658,1
