driver,team,qualifying_position,gap_to_pole_norm,quali_stage
SAI,FERRARI,1.0,1.3785971736656282,3
RUS,MERCEDES,2.0,1.2930364491557338,3
LEC,FERRARI,3.0,1.2847180453839329,3
NOR,MCLAREN,4.0,1.038730962418003,3
HAM,MERCEDES,5.0,0.783237132284296,3
MAG,HAAS F1 TEAM,6.0,0.676286226646928,3
ALO,ASTON MARTIN,7.0,0.6287524908081089,3
OCO,ALPINE,8.0,0.5598285738417994,3
HUL,HAAS F1 TEAM,9.0,0.3994022153857473,3
LAW,ALPHATAURI,10.0,-0.14723574676077264,3
VER,RED BULL RACING,11.0,-0.03434312414355638,2
GAS,ALPINE,12.0,-0.15436580713659717,2
PER,RED BULL RACING,13.0,-0.19714616939154442,2
ALB,WILLIAMS,14.0,-1.8715220143142672,2
TSU,ALPHATAURI,15.0,0.1819353739231157,1
BOT,ALFA ROMEO,16.0,-0.7901295239809238,1
PIA,MCLAREN,17.0,-0.9006454598062041,1
SAR,WILLIAMS,18.0,-1.3165656483959465,1
ZHO,ALFA ROMEO,19.0,-1.3236957087717711,1
STR,ASTON MARTIN,20.0,-1.4888754408117117,1
