driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.865931324621415,3
SAI,FERRARI,2.0,1.153749679799178,3
NOR,MCLAREN,3.0,1.0643415945184516,3
GAS,ALPINE,4.0,1.0273451454367746,3
HAM,MERCEDES,5.0,1.0242621080133087,3
STR,ASTON MARTIN,6.0,0.7529548147476852,3
OCO,ALPINE,7.0,0.6157596494031407,3
HUL,HAAS F1 TEAM,8.0,0.39069791748961324,3
ALO,ASTON MARTIN,9.0,-0.03784428437313721,3
PIA,MCLAREN,10.0,-0.30761005892701687,3
PER,RED BULL RACING,11.0,0.22883845275727668,2
RUS,MERCEDES,12.0,0.05464683833105512,2
ZHO,ALFA ROMEO,13.0,-0.059425546337441446,2
DEV,ALPHATAURI,14.0,-0.9257590623333397,2
TSU,ALPHATAURI,15.0,-1.5331174347575214,2
BOT,ALFA ROMEO,16.0,-0.7623580788892812,1
MAG,HAAS F1 TEAM,17.0,-0.8625567951521489,1
ALB,WILLIAMS,18.0,-0.8949286880986163,1
LEC,FERRARI,19.0,-0.9195929874863863,1
SAR,WILLIAMS,20.0,-1.875334588763011,1
