driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.7098001395402098,3
PIA,MCLAREN,2.0,1.260982971537309,3
SAI,FERRARI,3.0,1.2180339602451749,3
HUL,HAAS F1 TEAM,4.0,1.0848920252395369,3
VER,RED BULL RACING,5.0,0.9581924419277205,3
GAS,ALPINE,6.0,0.8744418699080385,3
RUS,MERCEDES,7.0,0.5566191863461585,3
ALO,ASTON MARTIN,8.0,0.4191823502113162,3
BOT,KICK SAUBER,9.0,0.40200274569446853,3
PER,RED BULL RACING,10.0,0.27315571181803483,3
TSU,RB,11.0,-0.05969912569607546,2
LAW,RB,12.0,-0.1735140056202484,2
STR,ASTON MARTIN,13.0,-0.8435185817777038,2
LEC,FERRARI,14.0,-0.9487436594434376,2
MAG,HAAS F1 TEAM,15.0,-1.0432314842861454,2
ALB,WILLIAMS,16.0,-0.9229742526681509,1
ZHO,KICK SAUBER,17.0,-1.049673835979967,1
HAM,MERCEDES,18.0,-1.064705989932228,1
COL,WILLIAMS,19.0,-1.118392254047419,1
DOO,ALPINE,20.0,-1.5328502130165937,1
