driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,1.1552578681152796,3
VER,RED BULL RACING,2.0,1.1552578681152796,3
NOR,MCLAREN,3.0,1.123186461901489,3
PIA,MCLAREN,4.0,0.9979552566857502,3
RIC,RB,5.0,0.883414520207927,3
ALO,ASTON MARTIN,6.0,0.8070540292227187,3
HAM,MERCEDES,7.0,0.7276391185980874,3
TSU,RB,8.0,0.5229930027577171,3
STR,ASTON MARTIN,9.0,0.08468378450260908,3
ALB,WILLIAMS,10.0,-0.06040114836931483,3
LEC,FERRARI,11.0,0.09995588269963772,2
SAI,FERRARI,12.0,0.04344911937059272,2
SAR,WILLIAMS,13.0,0.031231440812943767,2
MAG,HAAS F1 TEAM,14.0,-0.2436663267338103,2
GAS,ALPINE,15.0,-0.28031936240671373,2
PER,RED BULL RACING,16.0,-0.8698223528125484,1
BOT,KICK SAUBER,17.0,-0.9309107456007281,1
OCO,ALPINE,18.0,-1.0362882231603254,1
HUL,HAAS F1 TEAM,19.0,-1.8655631552597225,1
ZHO,KICK SAUBER,20.0,-2.3451070386468684,1
