driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.5421788720017315,3
VER,RED BULL RACING,2.0,1.1273000631794123,3
PIA,MCLAREN,3.0,0.9606493057030281,3
RUS,MERCEDES,4.0,0.876741232008622,3
PER,RED BULL RACING,5.0,0.6762941670719963,3
LEC,FERRARI,6.0,0.4828394416099044,3
ALO,ASTON MARTIN,7.0,0.42340455607636673,3
STR,ASTON MARTIN,8.0,0.16235721569377556,3
GAS,ALPINE,9.0,0.022510426203098746,3
SAI,FERRARI,10.0,0.09592999068570407,2
ALB,WILLIAMS,10.0,0.40009675782790954,3
HAM,MERCEDES,11.0,0.05630673366335668,2
TSU,RB,12.0,0.04814900427639501,2
HUL,HAAS F1 TEAM,13.0,-0.25485237295339924,2
MAG,HAAS F1 TEAM,14.0,-0.34808356594717826,2
RIC,RB,15.0,-1.1032562291968,1
OCO,ALPINE,16.0,-1.1638565046427654,1
BOT,KICK SAUBER,17.0,-1.365468959491819,1
ZHO,KICK SAUBER,18.0,-2.6392401337693396,1
SAR,WILLIAMS,20.0,0.0,1
