driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.3449356347490617,3
PIA,MCLAREN,2.0,1.322350653477046,3
VER,RED BULL RACING,3.0,1.2977124920893819,3
SAI,FERRARI,4.0,0.8634648976318161,3
HAM,MERCEDES,5.0,0.7012636684963655,3
LEC,FERRARI,6.0,0.6489075755475793,3
ALO,ASTON MARTIN,7.0,0.5072381475685105,3
STR,ASTON MARTIN,8.0,0.30089354594683804,3
RIC,RB,9.0,0.09249576420951715,3
TSU,RB,10.0,0.06169806247493699,3
HUL,HAAS F1 TEAM,11.0,0.22595247172603602,2
BOT,KICK SAUBER,12.0,0.15717093785213548,2
ALB,WILLIAMS,13.0,0.11097438525026525,2
SAR,WILLIAMS,14.0,-0.0060568813411393555,2
MAG,HAAS F1 TEAM,15.0,-0.011189831630231186,2
PER,RED BULL RACING,16.0,-1.3847673289924478,1
RUS,MERCEDES,17.0,-1.4689477137336386,1
ZHO,KICK SAUBER,18.0,-1.5397824277231729,1
OCO,ALPINE,19.0,-1.552101508417005,1
GAS,ALPINE,20.0,-1.672212545181853,1
