driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.4440300549750646,3
PIA,MCLAREN,2.0,1.282536928219517,3
RUS,MERCEDES,3.0,1.2766105749440984,3
LEC,FERRARI,4.0,1.2454972202480767,3
SAI,FERRARI,5.0,1.2366076903349277,3
HAM,MERCEDES,6.0,1.168454627667445,3
VER,RED BULL RACING,7.0,0.41432617336866445,3
PER,RED BULL RACING,8.0,0.35506264061435167,3
ALB,WILLIAMS,9.0,0.003926209044965345,3
HUL,HAAS F1 TEAM,10.0,-0.05533732370934742,3
ALO,ASTON MARTIN,11.0,-0.1768275658557244,2
RIC,RB,12.0,-0.2627596883494842,2
MAG,HAAS F1 TEAM,13.0,-0.5872275301794024,2
GAS,ALPINE,14.0,-0.6464910629337363,2
OCO,ALPINE,15.0,-0.6879755358617721,2
TSU,RB,16.0,-0.9531798449373564,1
STR,ASTON MARTIN,17.0,-1.053927850619726,1
COL,WILLIAMS,18.0,-1.1250440899249181,1
BOT,KICK SAUBER,19.0,-1.1843076226792308,1
ZHO,KICK SAUBER,20.0,-1.6939740043664133,1
