driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.4578300400668447,3
RUS,MERCEDES,2.0,1.378748619607543,3
NOR,MCLAREN,3.0,1.0954933499624384,3
PIA,MCLAREN,4.0,1.0135362414864622,3
LEC,FERRARI,5.0,0.9804658292943796,3
HAM,MERCEDES,6.0,0.7518486319666198,3
SAI,FERRARI,7.0,0.7087133117160952,3
ALO,ASTON MARTIN,8.0,0.4067660699624232,3
PER,RED BULL RACING,9.0,0.15658121250940113,3
MAG,HAAS F1 TEAM,10.0,0.048742911883089705,3
GAS,ALPINE,11.0,0.1393270844091913,2
ZHO,KICK SAUBER,12.0,0.04730506787473207,2
BOT,KICK SAUBER,13.0,-0.2833990540459291,2
TSU,RB,14.0,-0.3409128143799687,2
STR,ASTON MARTIN,15.0,-0.5422109755490765,2
ALB,WILLIAMS,16.0,-1.2309382555490915,1
LAW,RB,17.0,-1.2611329797244588,1
HUL,HAAS F1 TEAM,18.0,-1.3057061439833206,1
COL,WILLIAMS,19.0,-1.5242584332526383,1
OCO,ALPINE,20.0,-1.6967997142547366,1
