driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.7909090723951544,3
LEC,FERRARI,2.0,1.284744470493216,3
PER,RED BULL RACING,3.0,1.2593569042536121,3
ALO,ASTON MARTIN,4.0,1.197474711544596,3
PIA,MCLAREN,5.0,0.8119010492807482,3
NOR,MCLAREN,6.0,0.7436719650118254,3
RUS,MERCEDES,7.0,0.4517149532564818,3
HAM,MERCEDES,8.0,0.2232268571001368,3
TSU,RB,9.0,0.08518196567233136,3
STR,ASTON MARTIN,10.0,0.04551389342295447,3
BEA,FERRARI,11.0,-0.06555670887526474,2
ALB,WILLIAMS,12.0,-0.6018690456867312,2
MAG,HAAS F1 TEAM,13.0,-0.6653379612857071,2
RIC,RB,14.0,-0.673271575735596,2
HUL,HAAS F1 TEAM,15.0,-0.7208732624348393,1
BOT,KICK SAUBER,16.0,-0.9176269007916964,1
OCO,ALPINE,17.0,-1.3872968762241997,1
GAS,ALPINE,18.0,-1.3936437677841063,1
SAR,WILLIAMS,19.0,-1.4682197436129132,1
ZHO,KICK SAUBER,20.0,0.0,1
