driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.2978526903434249,3
RUS,MERCEDES,2.0,1.2417969374493893,3
TSU,RB,3.0,1.0690933750648766,3
OCO,ALPINE,4.0,0.9511494788022858,3
LAW,RB,5.0,0.9482332835650238,3
LEC,FERRARI,6.0,0.934948394150827,3
ALB,WILLIAMS,7.0,0.8921775306709882,3
PIA,MCLAREN,8.0,0.8827809015731407,3
ALO,ASTON MARTIN,9.0,-0.5144006387683551,3
STR,ASTON MARTIN,10.0,0.34879315146117856,2
BOT,KICK SAUBER,11.0,0.3040781578231651,2
VER,RED BULL RACING,12.0,-0.11682602142164314,2
PER,RED BULL RACING,13.0,-0.24222241662390653,2
SAI,FERRARI,14.0,-0.6466014895242299,2
GAS,ALPINE,15.0,-0.713998001674283,2
HAM,MERCEDES,16.0,-1.2116953221669873,1
BEA,HAAS F1 TEAM,17.0,-1.2372930359162844,1
COL,WILLIAMS,18.0,-1.2505779253304765,1
HUL,HAAS F1 TEAM,19.0,-1.3649575829697531,1
ZHO,KICK SAUBER,20.0,-1.5723314665083798,1
