driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,2.5924359350868897,3
LEC,FERRARI,2.0,1.3790692529862862,3
PIA,MCLAREN,3.0,1.2346762888975464,3
HAM,FERRARI,4.0,1.1694665631800683,3
RUS,MERCEDES,5.0,0.7479322647919302,3
LAW,RACING BULLS,6.0,0.3683185043650754,3
VER,RED BULL RACING,7.0,0.3613317480382004,3
BOR,KICK SAUBER,8.0,-0.11143876341366589,3
ANT,MERCEDES,9.0,-0.44680306710363443,3
GAS,ALPINE,10.0,-1.3154897704117416,3
ALO,ASTON MARTIN,11.0,-0.10212308831115481,2
ALB,WILLIAMS,12.0,-0.28144983403426965,2
HAD,RACING BULLS,13.0,-0.3303571283223949,2
COL,ALPINE,14.0,-0.4747500924111346,2
BEA,HAAS F1 TEAM,15.0,-0.5306441430261348,2
STR,ASTON MARTIN,16.0,-0.570235762211749,1
OCO,HAAS F1 TEAM,17.0,-0.6517479193586465,1
TSU,RED BULL RACING,18.0,-0.6633925132367605,1
SAI,WILLIAMS,19.0,-1.1594522124448547,1
HUL,KICK SAUBER,20.0,-1.215346263059855,1
