driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.8478192057197473,3
ANT,MERCEDES,2.0,1.2925664976566977,3
LEC,FERRARI,3.0,0.9096335955442497,3
PIA,MCLAREN,4.0,0.6511538866183927,3
HAD,RACING BULLS,5.0,0.5075540483262247,3
RUS,MERCEDES,6.0,0.4724518656325987,3
LAW,RACING BULLS,7.0,0.40862971528049385,3
BEA,HAAS F1 TEAM,8.0,0.36076310251643784,3
GAS,ALPINE,9.0,0.28098541457637477,3
HUL,KICK SAUBER,10.0,0.1629144364250215,3
ALO,ASTON MARTIN,11.0,0.2841765220939483,2
ALB,WILLIAMS,12.0,0.11823893117858436,2
HAM,FERRARI,13.0,-0.03174312214877599,2
STR,ASTON MARTIN,14.0,-0.22640068072261885,2
SAI,WILLIAMS,15.0,-1.2188351186973194,2
VER,RED BULL RACING,16.0,-0.9986486999827072,1
OCO,HAAS F1 TEAM,17.0,-1.1103374630988228,1
COL,ALPINE,18.0,-1.7294123215139319,1
TSU,RED BULL RACING,19.0,-1.9815098154045965,1
BOR,KICK SAUBER,,0.0,1
