driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PIA,MCLAREN,1.0,1.5822872508115176,3
RUS,MERCEDES,2.0,1.4259931418353868,3
NOR,MCLAREN,3.0,1.2925713414898847,3
VER,RED BULL RACING,4.0,1.2468267242286,3
HAM,FERRARI,5.0,1.037163895114236,3
LEC,FERRARI,6.0,0.8579974775074493,3
HAD,RACING BULLS,7.0,0.7474479857926304,3
ANT,MERCEDES,8.0,0.7017033685313185,3
TSU,RACING BULLS,9.0,-0.3180203912520735,3
ALB,WILLIAMS,10.0,-0.4476301401591147,3
OCO,HAAS F1 TEAM,11.0,-0.2932420569021872,2
HUL,KICK SAUBER,12.0,-0.3065842369367455,2
ALO,ASTON MARTIN,13.0,-0.4133216772131308,2
STR,ASTON MARTIN,14.0,-0.5753338633469256,2
SAI,WILLIAMS,15.0,-0.7030375865347636,2
GAS,ALPINE,16.0,-0.9927534958563963,1
BEA,HAAS F1 TEAM,17.0,-1.0423101645561417,1
DOO,ALPINE,18.0,-1.1833560677785109,1
BOR,KICK SAUBER,19.0,-1.276751328020365,1
LAW,RED BULL RACING,20.0,-1.3396501767546687,1
