driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.5262200197719378,3
LEC,FERRARI,2.0,1.170780335167273,3
HAM,FERRARI,3.0,1.0486827335855136,3
RUS,MERCEDES,4.0,0.9184452918983034,3
VER,RED BULL RACING,5.0,0.8696062512656189,3
ANT,MERCEDES,6.0,0.8044875304220137,3
SAI,WILLIAMS,7.0,0.731228969472958,3
PIA,MCLAREN,8.0,0.728515689437795,3
HAD,RACING BULLS,9.0,0.622697768066956,3
BEA,HAAS F1 TEAM,10.0,0.3405166444113469,3
TSU,RED BULL RACING,11.0,-0.14244720184538429,2
OCO,HAAS F1 TEAM,12.0,-0.1709366422144615,2
HUL,KICK SAUBER,13.0,-0.41377520536039897,2
ALO,ASTON MARTIN,14.0,-0.5318028868894139,2
LAW,RACING BULLS,15.0,-1.8463870639196527,2
BOR,KICK SAUBER,16.0,-0.9510046523201215,1
ALB,WILLIAMS,17.0,-1.0568225736909604,1
GAS,ALPINE,18.0,-1.1327944146751794,1
STR,ASTON MARTIN,19.0,-1.2141928157296664,1
COL,ALPINE,20.0,-1.3010177768544795,1
