driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.4527789160765165,3
NOR,MCLAREN,2.0,0.9846622060708626,3
LEC,FERRARI,3.0,0.9750103151429105,3
RUS,MERCEDES,4.0,0.9444459938710774,3
HAM,FERRARI,5.0,0.8061022239037487,3
PIA,MCLAREN,6.0,0.5294146839691372,3
ANT,MERCEDES,7.0,0.4811552293293767,3
BEA,HAAS F1 TEAM,8.0,0.44093901712959155,3
SAI,WILLIAMS,9.0,0.4232438837616641,3
ALO,ASTON MARTIN,10.0,0.4071573988817592,3
HUL,KICK SAUBER,11.0,0.12725256197114837,2
LAW,RACING BULLS,12.0,0.08542770128336356,2
TSU,RED BULL RACING,13.0,-0.08508903844377493,2
GAS,ALPINE,14.0,-0.38268900872229034,2
COL,ALPINE,15.0,-1.0148878645031298,2
BOR,KICK SAUBER,16.0,-1.1451883920304833,1
OCO,HAAS F1 TEAM,17.0,-1.1628835253983878,1
STR,ASTON MARTIN,18.0,-1.812777514547155,1
ALB,WILLIAMS,19.0,-2.0540747877459347,1
HAD,RACING BULLS,20.0,0.0,1
