driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,1.2722314817952256,3
HAM,FERRARI,2.0,1.222517285348526,3
ANT,MERCEDES,3.0,1.0244372838811777,3
NOR,MCLAREN,4.0,1.0221069309227384,3
VER,RED BULL RACING,5.0,1.006571244533146,3
HAD,RED BULL RACING,6.0,0.9630713226422811,3
PIA,MCLAREN,7.0,0.9529731264890401,3
LAW,RACING BULLS,8.0,-0.17491770539558127,3
HUL,AUDI,9.0,-0.26424790213575056,3
LEC,FERRARI,10.0,0.8046073214684024,2
LIN,RACING BULLS,11.0,0.3703848868792143,2
BOR,AUDI,12.0,0.2453226114429706,2
COL,ALPINE,13.0,0.0977335907418165,2
GAS,ALPINE,14.0,0.04335868837823806,2
BEA,HAAS F1 TEAM,15.0,-0.05606970451517229,2
SAI,WILLIAMS,16.0,-1.17308555592708,2
OCO,HAAS F1 TEAM,17.0,-0.5873901790393314,1
ALB,WILLIAMS,18.0,-0.8600414751767402,1
PER,CADILLAC,19.0,-0.9540323778337884,1
BOT,CADILLAC,20.0,-1.1187106535635016,1
STR,ASTON MARTIN,21.0,-1.896271757362742,1
ALO,ASTON MARTIN,22.0,-1.9405484635730903,1
