driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.3427707694570954,3
LEC,FERRARI,2.0,1.2199612324002063,3
HAM,FERRARI,3.0,1.099257001692864,3
RUS,MERCEDES,4.0,1.0831163196796754,3
HAD,RED BULL RACING,5.0,0.8971475921363828,3
NOR,MCLAREN,6.0,0.8052158815395098,3
VER,RED BULL RACING,7.0,0.7939875810085903,3
PIA,MCLAREN,8.0,0.6964417201462627,3
LIN,RACING BULLS,9.0,0.5048588423375053,3
LAW,RACING BULLS,10.0,0.21643187244961595,3
BOR,AUDI,11.0,0.39538291216108257,2
GAS,ALPINE,12.0,-0.0270818953146254,2
HUL,AUDI,13.0,-0.03620488949598815,2
BEA,HAAS F1 TEAM,14.0,-0.33445662234844586,2
SAI,WILLIAMS,15.0,-0.42007241389667843,2
ALB,WILLIAMS,16.0,-0.9239424002215154,2
OCO,HAAS F1 TEAM,17.0,-0.4600732345380673,1
BOT,CADILLAC,18.0,-0.8439407589387476,1
COL,ALPINE,19.0,-0.9099070245578735,1
PER,CADILLAC,20.0,-1.0011369663715608,1
STR,ASTON MARTIN,21.0,-1.9920344882248806,1
ALO,ASTON MARTIN,22.0,-2.105721031100407,1
