driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.4673203843809974,3
RUS,MERCEDES,2.0,1.213541234905942,3
PIA,MCLAREN,3.0,1.1658511933938391,3
LEC,FERRARI,4.0,0.9333622410223895,3
NOR,MCLAREN,5.0,0.9299558094858072,3
HAM,FERRARI,6.0,0.7954017637909847,3
GAS,ALPINE,7.0,0.6898023861570566,3
HAD,RED BULL RACING,8.0,0.44539092340758724,3
BOR,AUDI,9.0,0.19331498970080477,3
LIN,RACING BULLS,10.0,0.15499263491430007,3
VER,RED BULL RACING,11.0,0.20353428431053935,2
OCO,HAAS F1 TEAM,12.0,0.1635087137557496,2
HUL,AUDI,13.0,0.09708329879247479,2
LAW,RACING BULLS,14.0,0.005109647304863511,2
COL,ALPINE,15.0,-0.10730259340220484,2
SAI,WILLIAMS,16.0,-0.4530553943648836,2
ALB,WILLIAMS,17.0,-0.4998938279928257,1
BEA,HAAS F1 TEAM,18.0,-0.5015970437611229,1
PER,CADILLAC,19.0,-1.451991442466403,1
BOT,CADILLAC,20.0,-1.557590820100319,1
ALO,ASTON MARTIN,21.0,-1.8266989114899885,1
STR,ASTON MARTIN,22.0,-2.0600394717455868,1
