driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:24.160000,0 days 00:01:23.740000,0 days 00:01:23.445000
LEC,16,Ferrari,2.0,0 days 00:01:24.459000,0 days 00:01:23.969000,0 days 00:01:23.584000
PIA,81,McLaren,3.0,0 days 00:01:24.487000,0 days 00:01:24.278000,0 days 00:01:23.782000
RUS,63,Mercedes,4.0,0 days 00:01:24.337000,0 days 00:01:24.013000,0 days 00:01:23.788000
NOR,4,McLaren,5.0,0 days 00:01:24.368000,0 days 00:01:23.920000,0 days 00:01:23.816000
TSU,22,AlphaTauri,6.0,0 days 00:01:24.286000,0 days 00:01:24.207000,0 days 00:01:23.968000
ALO,14,Aston Martin,7.0,0 days 00:01:24.501000,0 days 00:01:24.131000,0 days 00:01:24.084000
HUL,27,Haas F1 Team,8.0,0 days 00:01:24.425000,0 days 00:01:24.213000,0 days 00:01:24.108000
PER,11,Red Bull Racing,9.0,0 days 00:01:24.209000,0 days 00:01:24.116000,0 days 00:01:24.171000
GAS,10,Alpine,10.0,0 days 00:01:24.600000,0 days 00:01:24.078000,0 days 00:01:24.548000
HAM,44,Mercedes,11.0,0 days 00:01:24.437000,0 days 00:01:24.359000,
OCO,31,Alpine,12.0,0 days 00:01:24.565000,0 days 00:01:24.391000,
STR,18,Aston Martin,13.0,0 days 00:01:24.405000,0 days 00:01:24.422000,
ALB,23,Williams,14.0,0 days 00:01:24.298000,0 days 00:01:24.439000,
RIC,3,AlphaTauri,15.0,0 days 00:01:24.461000,0 days 00:01:24.442000,
SAI,55,Ferrari,16.0,0 days 00:01:24.738000,,
MAG,20,Haas F1 Team,17.0,0 days 00:01:24.764000,,
BOT,77,Alfa Romeo,18.0,0 days 00:01:24.788000,,
ZHO,24,Alfa Romeo,19.0,0 days 00:01:25.159000,,
SAR,2,Williams,20.0,,,
