driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:17.384000,0 days 00:01:17.056000,0 days 00:01:16.732000
RUS,63,Mercedes,2.0,0 days 00:01:17.654000,0 days 00:01:17.513000,0 days 00:01:16.968000
HAM,44,Mercedes,3.0,0 days 00:01:17.689000,0 days 00:01:17.551000,0 days 00:01:17.104000
ALO,14,Aston Martin,4.0,0 days 00:01:17.832000,0 days 00:01:17.283000,0 days 00:01:17.139000
SAI,55,Ferrari,5.0,0 days 00:01:17.928000,0 days 00:01:17.349000,0 days 00:01:17.270000
STR,18,Aston Martin,6.0,0 days 00:01:17.873000,0 days 00:01:17.616000,0 days 00:01:17.308000
LEC,16,Ferrari,7.0,0 days 00:01:18.218000,0 days 00:01:17.390000,0 days 00:01:17.369000
ALB,23,Williams,8.0,0 days 00:01:17.962000,0 days 00:01:17.761000,0 days 00:01:17.609000
GAS,10,Alpine,9.0,0 days 00:01:18.312000,0 days 00:01:17.574000,0 days 00:01:17.675000
HUL,27,Haas F1 Team,10.0,0 days 00:01:18.029000,0 days 00:01:17.412000,0 days 00:01:17.735000
OCO,31,Alpine,11.0,0 days 00:01:17.770000,0 days 00:01:17.768000,
TSU,22,AlphaTauri,12.0,0 days 00:01:18.471000,0 days 00:01:18.099000,
NOR,4,McLaren,13.0,0 days 00:01:18.243000,0 days 00:01:18.119000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:18.159000,0 days 00:01:18.129000,
DEV,21,AlphaTauri,15.0,0 days 00:01:18.450000,0 days 00:01:18.335000,
PIA,81,McLaren,16.0,0 days 00:01:18.517000,,
ZHO,24,Alfa Romeo,17.0,0 days 00:01:18.540000,,
SAR,2,Williams,18.0,0 days 00:01:18.557000,,
BOT,77,Alfa Romeo,19.0,0 days 00:01:18.714000,,
PER,11,Red Bull Racing,20.0,,,
