driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
HAM,Mercedes,2.0,finished,0
ALO,Aston Martin,3.0,finished,0
STR,Aston Martin,4.0,finished,0
PER,Red Bull Racing,5.0,finished,0
NOR,McLaren,6.0,finished,0
HUL,Haas F1 Team,7.0,finished,0
PIA,McLaren,8.0,finished,0
ZHO,Alfa Romeo,9.0,finished,0
TSU,AlphaTauri,10.0,finished,0
BOT,Alfa Romeo,11.0,finished,0
SAI,Ferrari,12.0,finished,0
GAS,Alpine,,retired,1
OCO,Alpine,,retired,1
DEV,AlphaTauri,,retired,1
SAR,Williams,,retired,1
MAG,Haas F1 Team,,retired,1
RUS,Mercedes,,retired,1
ALB,Williams,,retired,1
LEC,Ferrari,,retired,1
