driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:33.009000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,0 days 00:02:19.137000,1.0,MEDIUM,4.0
VER,0 days 00:01:32.794000,1.0,MEDIUM,5.0
VER,0 days 00:01:43.785000,1.0,MEDIUM,6.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:31.076000,2.0,SOFT,2.0
VER,0 days 00:02:03.692000,2.0,SOFT,3.0
VER,,3.0,SOFT,4.0
VER,0 days 00:01:37.641000,3.0,SOFT,5.0
VER,0 days 00:01:37.136000,3.0,SOFT,6.0
VER,0 days 00:01:36.898000,3.0,SOFT,7.0
VER,0 days 00:01:37.179000,3.0,SOFT,8.0
VER,0 days 00:01:36.827000,3.0,SOFT,9.0
VER,0 days 00:01:37.230000,3.0,SOFT,10.0
VER,0 days 00:01:37.324000,3.0,SOFT,11.0
VER,0 days 00:01:50.625000,3.0,SOFT,12.0
VER,0 days 00:01:37.268000,3.0,SOFT,13.0
VER,0 days 00:01:37.169000,3.0,SOFT,14.0
VER,0 days 00:01:37.229000,3.0,SOFT,15.0
VER,0 days 00:01:37.519000,3.0,SOFT,16.0
VER,,3.0,SOFT,17.0
VER,,3.0,SOFT,18.0
SAR,,1.0,SOFT,1.0
SAR,0 days 00:01:33.558000,1.0,SOFT,2.0
SAR,0 days 00:02:13.891000,1.0,SOFT,3.0
SAR,0 days 00:01:32.749000,1.0,SOFT,4.0
SAR,0 days 00:02:01.910000,1.0,SOFT,5.0
SAR,,2.0,SOFT,1.0
SAR,0 days 00:01:32.851000,2.0,SOFT,2.0
SAR,0 days 00:02:13.301000,2.0,SOFT,3.0
SAR,0 days 00:01:33.323000,2.0,SOFT,4.0
SAR,0 days 00:01:58.677000,2.0,SOFT,5.0
SAR,,3.0,UNKNOWN,1.0
SAR,0 days 00:01:38.009000,3.0,UNKNOWN,2.0
SAR,0 days 00:01:38.022000,3.0,UNKNOWN,3.0
SAR,0 days 00:01:39.401000,3.0,UNKNOWN,4.0
SAR,0 days 00:01:44.939000,3.0,UNKNOWN,5.0
SAR,0 days 00:02:04.045000,4.0,SOFT,6.0
SAR,0 days 00:01:38.023000,4.0,SOFT,7.0
SAR,0 days 00:01:37.849000,4.0,SOFT,8.0
SAR,0 days 00:01:37.990000,4.0,SOFT,9.0
SAR,0 days 00:01:38.409000,4.0,SOFT,10.0
SAR,0 days 00:01:38.397000,4.0,SOFT,11.0
SAR,0 days 00:01:38.733000,4.0,SOFT,12.0
SAR,0 days 00:01:39.128000,4.0,SOFT,13.0
SAR,0 days 00:01:39.281000,4.0,SOFT,14.0
SAR,0 days 00:01:39.782000,4.0,SOFT,15.0
SAR,0 days 00:01:40.065000,4.0,SOFT,16.0
SAR,0 days 00:01:41.586000,4.0,SOFT,17.0
SAR,0 days 00:02:16.854000,4.0,SOFT,18.0
SAR,0 days 00:02:17.277000,4.0,SOFT,19.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:02:00.196000,1.0,MEDIUM,2.0
NOR,0 days 00:01:33.343000,1.0,MEDIUM,3.0
NOR,,1.0,MEDIUM,4.0
NOR,0 days 00:01:33.117000,1.0,MEDIUM,5.0
NOR,0 days 00:02:25.792000,1.0,MEDIUM,6.0
NOR,0 days 00:01:38.644000,1.0,MEDIUM,7.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:31.570000,2.0,SOFT,2.0
NOR,0 days 00:02:00.190000,2.0,SOFT,3.0
NOR,,3.0,SOFT,4.0
NOR,0 days 00:01:37.683000,3.0,SOFT,5.0
NOR,0 days 00:01:38.212000,3.0,SOFT,6.0
NOR,0 days 00:01:37.908000,3.0,SOFT,7.0
NOR,0 days 00:01:38.066000,3.0,SOFT,8.0
NOR,0 days 00:01:38.106000,3.0,SOFT,9.0
NOR,0 days 00:01:38.078000,3.0,SOFT,10.0
NOR,0 days 00:01:38.405000,3.0,SOFT,11.0
NOR,0 days 00:01:38.650000,3.0,SOFT,12.0
NOR,0 days 00:01:38.619000,3.0,SOFT,13.0
NOR,0 days 00:01:38.665000,3.0,SOFT,14.0
NOR,0 days 00:01:41.428000,3.0,SOFT,15.0
NOR,0 days 00:02:01.572000,4.0,MEDIUM,8.0
NOR,0 days 00:01:38.044000,4.0,MEDIUM,9.0
NOR,0 days 00:01:38.016000,4.0,MEDIUM,10.0
NOR,0 days 00:01:57.208000,4.0,MEDIUM,11.0
NOR,0 days 00:02:17.497000,4.0,MEDIUM,12.0
GAS,,1.0,SOFT,1.0
GAS,0 days 00:01:32.368000,1.0,SOFT,2.0
GAS,0 days 00:02:20.851000,1.0,SOFT,3.0
GAS,0 days 00:02:06.633000,1.0,SOFT,4.0
GAS,0 days 00:02:13.403000,1.0,SOFT,5.0
GAS,0 days 00:01:32.644000,1.0,SOFT,6.0
GAS,0 days 00:01:53.231000,1.0,SOFT,7.0
GAS,,2.0,SOFT,1.0
GAS,0 days 00:01:31.475000,2.0,SOFT,2.0
GAS,0 days 00:02:16.303000,2.0,SOFT,3.0
GAS,0 days 00:01:40.608000,2.0,SOFT,4.0
GAS,,3.0,SOFT,5.0
GAS,0 days 00:01:37.885000,3.0,SOFT,6.0
GAS,0 days 00:01:37.998000,3.0,SOFT,7.0
