driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
HAM,Mercedes,3.0,finished,0
PIA,McLaren,4.0,finished,0
RUS,Mercedes,5.0,finished,0
PER,Red Bull Racing,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
ALB,Williams,8.0,finished,0
LEC,Ferrari,9.0,finished,0
SAI,Ferrari,10.0,finished,0
SAR,Williams,11.0,finished,0
BOT,Alfa Romeo,12.0,finished,0
HUL,Haas F1 Team,13.0,finished,0
STR,Aston Martin,14.0,finished,0
ZHO,Alfa Romeo,15.0,finished,0
TSU,AlphaTauri,16.0,finished,0
DEV,AlphaTauri,17.0,finished,0
GAS,Alpine,,retired,1
MAG,Haas F1 Team,,retired,1
OCO,Alpine,,retired,1
