driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:21.891000,1.0,MEDIUM,2.0
VER,0 days 00:01:48.320000,1.0,MEDIUM,3.0
VER,0 days 00:01:12.449000,1.0,MEDIUM,4.0
VER,,1.0,MEDIUM,5.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:11.568000,2.0,SOFT,2.0
VER,0 days 00:01:59.432000,2.0,SOFT,3.0
VER,0 days 00:01:48.997000,2.0,SOFT,4.0
VER,0 days 00:01:11.353000,2.0,SOFT,5.0
VER,0 days 00:01:26.122000,2.0,SOFT,6.0
VER,,3.0,SOFT,7.0
VER,0 days 00:01:15.856000,3.0,SOFT,8.0
VER,0 days 00:01:16.187000,3.0,SOFT,9.0
VER,0 days 00:01:27.338000,3.0,SOFT,10.0
VER,0 days 00:01:15.870000,3.0,SOFT,11.0
VER,0 days 00:01:16.318000,3.0,SOFT,12.0
VER,0 days 00:01:15.893000,3.0,SOFT,13.0
VER,0 days 00:01:15.980000,3.0,SOFT,14.0
VER,0 days 00:01:16.116000,3.0,SOFT,15.0
VER,0 days 00:01:16.600000,3.0,SOFT,16.0
VER,0 days 00:01:16.341000,3.0,SOFT,17.0
VER,0 days 00:01:19.236000,3.0,SOFT,18.0
VER,0 days 00:01:16.455000,3.0,SOFT,19.0
VER,0 days 00:02:24.227000,3.0,SOFT,20.0
VER,0 days 00:01:29.691000,3.0,SOFT,21.0
SAR,,1.0,HARD,1.0
SAR,0 days 00:01:14.306000,1.0,HARD,2.0
SAR,0 days 00:01:13.628000,1.0,HARD,3.0
SAR,0 days 00:01:48.116000,1.0,HARD,4.0
SAR,0 days 00:01:43.111000,1.0,HARD,5.0
SAR,0 days 00:01:18.540000,1.0,HARD,6.0
SAR,,1.0,HARD,7.0
SAR,,2.0,SOFT,1.0
SAR,0 days 00:01:11.934000,2.0,SOFT,2.0
SAR,0 days 00:01:46.008000,2.0,SOFT,3.0
SAR,0 days 00:01:55.467000,2.0,SOFT,4.0
SAR,0 days 00:01:21.087000,2.0,SOFT,5.0
SAR,,3.0,SOFT,6.0
SAR,0 days 00:01:16.303000,3.0,SOFT,7.0
SAR,0 days 00:01:16.199000,3.0,SOFT,8.0
SAR,0 days 00:01:16.382000,3.0,SOFT,9.0
SAR,0 days 00:01:16.305000,3.0,SOFT,10.0
SAR,0 days 00:01:16.578000,3.0,SOFT,11.0
SAR,0 days 00:01:16.787000,3.0,SOFT,12.0
SAR,0 days 00:01:20.624000,3.0,SOFT,13.0
SAR,0 days 00:01:38.020000,4.0,HARD,8.0
SAR,0 days 00:01:16.694000,4.0,HARD,9.0
SAR,0 days 00:01:16.490000,4.0,HARD,10.0
SAR,0 days 00:01:16.664000,4.0,HARD,11.0
SAR,0 days 00:01:16.543000,4.0,HARD,12.0
SAR,0 days 00:01:16.421000,4.0,HARD,13.0
SAR,0 days 00:01:16.788000,4.0,HARD,14.0
SAR,0 days 00:01:16.719000,4.0,HARD,15.0
SAR,0 days 00:01:17.062000,4.0,HARD,16.0
SAR,0 days 00:01:17.075000,4.0,HARD,17.0
SAR,0 days 00:02:28.286000,4.0,HARD,18.0
SAR,0 days 00:01:35.043000,4.0,HARD,19.0
RIC,,1.0,HARD,1.0
RIC,0 days 00:01:17.381000,1.0,HARD,2.0
RIC,0 days 00:01:13.326000,1.0,HARD,3.0
RIC,0 days 00:01:51.492000,1.0,HARD,4.0
RIC,0 days 00:01:13.096000,1.0,HARD,5.0
RIC,0 days 00:01:51.585000,1.0,HARD,6.0
RIC,,1.0,HARD,7.0
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:13.649000,1.0,HARD,2.0
NOR,0 days 00:01:51.122000,1.0,HARD,3.0
NOR,0 days 00:01:13.280000,1.0,HARD,4.0
NOR,0 days 00:01:58.790000,1.0,HARD,5.0
NOR,,1.0,HARD,6.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:11.330000,2.0,SOFT,2.0
NOR,0 days 00:02:01.170000,2.0,SOFT,3.0
NOR,0 days 00:01:38.525000,2.0,SOFT,4.0
NOR,0 days 00:01:11.701000,2.0,SOFT,5.0
NOR,0 days 00:01:28.958000,2.0,SOFT,6.0
NOR,,3.0,SOFT,7.0
NOR,0 days 00:01:16.184000,3.0,SOFT,8.0
NOR,0 days 00:01:16.534000,3.0,SOFT,9.0
NOR,0 days 00:01:16.974000,3.0,SOFT,10.0
NOR,0 days 00:01:16.253000,3.0,SOFT,11.0
NOR,0 days 00:01:16.236000,3.0,SOFT,12.0
NOR,0 days 00:01:16.406000,3.0,SOFT,13.0
NOR,0 days 00:01:16.250000,3.0,SOFT,14.0
NOR,0 days 00:01:17.123000,3.0,SOFT,15.0
NOR,0 days 00:01:16.758000,3.0,SOFT,16.0
NOR,0 days 00:01:20.339000,3.0,SOFT,17.0
NOR,0 days 00:01:39.205000,4.0,HARD,7.0
NOR,0 days 00:01:16.309000,4.0,HARD,8.0
NOR,0 days 00:01:16.125000,4.0,HARD,9.0
NOR,0 days 00:01:16.326000,4.0,HARD,10.0
NOR,0 days 00:01:17.993000,4.0,HARD,11.0
NOR,,4.0,HARD,12.0
NOR,0 days 00:01:30.550000,4.0,HARD,13.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:13.362000,1.0,MEDIUM,2.0
GAS,0 days 00:01:51.528000,1.0,MEDIUM,3.0
GAS,0 days 00:01:13.149000,1.0,MEDIUM,4.0
GAS,0 days 00:02:03.937000,1.0,MEDIUM,5.0
GAS,,1.0,MEDIUM,6.0
GAS,,2.0,SOFT,1.0
GAS,0 days 00:01:11.766000,2.0,SOFT,2.0
GAS,0 days 00:02:00.854000,2.0,SOFT,3.0
GAS,0 days 00:01:44.044000,2.0,SOFT,4.0
GAS,0 days 00:01:12.154000,2.0,SOFT,5.0
GAS,0 days 00:01:33.091000,2.0,SOFT,6.0
GAS,,3.0,SOFT,7.0
GAS,0 days 00:01:16.143000,3.0,SOFT,8.0
GAS,0 days 00:01:16.166000,3.0,SOFT,9.0
GAS,0 days 00:01:16.563000,3.0,SOFT,10.0
GAS,0 days 00:01:16.345000,3.0,SOFT,11.0
GAS,0 days 00:01:20.643000,3.0,SOFT,12.0
GAS,0 days 00:01:16.487000,3.0,SOFT,13.0
GAS,0 days 00:01:17.096000,3.0,SOFT,14.0
GAS,0 days 00:01:17.128000,3.0,SOFT,15.0
GAS,0 days 00:01:17.050000,3.0,SOFT,16.0
GAS,0 days 00:01:16.690000,3.0,SOFT,17.0
GAS,0 days 00:01:16.514000,3.0,SOFT,18.0
GAS,0 days 00:01:16.356000,3.0,SOFT,19.0
GAS,0 days 00:01:16.718000,3.0,SOFT,20.0
GAS,0 days 00:01:17.460000,3.0,SOFT,21.0
GAS,0 days 00:01:17.938000,3.0,SOFT,22.0
GAS,0 days 00:02:13.113000,3.0,SOFT,23.0
GAS,0 days 00:01:54.425000,3.0,SOFT,24.0
PER,,1.0,MEDIUM,1.0
PER,0 days 00:01:12.750000,1.0,MEDIUM,2.0
PER,0 days 00:01:55.189000,1.0,MEDIUM,3.0
PER,0 days 00:01:12.644000,1.0,MEDIUM,4.0
PER,0 days 00:02:04.455000,1.0,MEDIUM,5.0
PER,,1.0,MEDIUM,6.0
PER,,2.0,SOFT,1.0
PER,0 days 00:01:11.946000,2.0,SOFT,2.0
PER,0 days 00:01:48.347000,2.0,SOFT,3.0
PER,0 days 00:02:02.804000,2.0,SOFT,4.0
PER,0 days 00:01:32.924000,2.0,SOFT,5.0
PER,0 days 00:01:11.817000,2.0,SOFT,6.0
PER,0 days 00:01:30.510000,2.0,SOFT,7.0
PER,,3.0,MEDIUM,7.0
PER,0 days 00:01:16.296000,3.0,MEDIUM,8.0
PER,0 days 00:01:16.287000,3.0,MEDIUM,9.0
PER,0 days 00:01:16.359000,3.0,MEDIUM,10.0
PER,0 days 00:01:16.412000,3.0,MEDIUM,11.0
PER,0 days 00:01:16.141000,3.0,MEDIUM,12.0
PER,0 days 00:01:16.201000,3.0,MEDIUM,13.0
PER,0 days 00:01:16.190000,3.0,MEDIUM,14.0
PER,0 days 00:01:17.303000,3.0,MEDIUM,15.0
PER,0 days 00:01:16.943000,3.0,MEDIUM,16.0
PER,0 days 00:01:17.008000,3.0,MEDIUM,17.0
PER,0 days 00:01:16.803000,3.0,MEDIUM,18.0
PER,0 days 00:01:24.217000,3.0,MEDIUM,19.0
PER,0 days 00:01:18.868000,3.0,MEDIUM,20.0
PER,0 days 00:02:19.021000,3.0,MEDIUM,21.0
PER,0 days 00:01:56.195000,3.0,MEDIUM,22.0
ALO,,1.0,HARD,1.0
ALO,0 days 00:01:16.003000,1.0,HARD,2.0
ALO,0 days 00:01:13.790000,1.0,HARD,3.0
ALO,0 days 00:01:44.004000,1.0,HARD,4.0
ALO,0 days 00:01:13.421000,1.0,HARD,5.0
ALO,0 days 00:01:30.754000,1.0,HARD,6.0
ALO,,2.0,SOFT,1.0
ALO,0 days 00:01:12.226000,2.0,SOFT,2.0
ALO,0 days 00:01:45.322000,2.0,SOFT,3.0
ALO,0 days 00:01:56.957000,2.0,SOFT,4.0
ALO,0 days 00:01:12.187000,2.0,SOFT,5.0
ALO,0 days 00:01:51.798000,2.0,SOFT,6.0
ALO,0 days 00:01:11.863000,2.0,SOFT,7.0
ALO,0 days 00:01:27.690000,2.0,SOFT,8.0
ALO,,3.0,HARD,7.0
ALO,0 days 00:01:17.934000,3.0,HARD,8.0
ALO,0 days 00:01:16.511000,3.0,HARD,9.0
ALO,0 days 00:01:16.325000,3.0,HARD,10.0
ALO,0 days 00:01:16.946000,3.0,HARD,11.0
ALO,0 days 00:01:17.924000,3.0,HARD,12.0
ALO,0 days 00:01:16.371000,3.0,HARD,13.0
ALO,0 days 00:01:16.552000,3.0,HARD,14.0
ALO,0 days 00:01:16.477000,3.0,HARD,15.0
ALO,0 days 00:01:16.831000,3.0,HARD,16.0
ALO,0 days 00:01:20.744000,3.0,HARD,17.0
ALO,0 days 00:01:46.108000,4.0,SOFT,9.0
ALO,0 days 00:01:15.603000,4.0,SOFT,10.0
ALO,0 days 00:01:17.041000,4.0,SOFT,11.0
ALO,0 days 00:01:18.550000,4.0,SOFT,12.0
ALO,0 days 00:02:26.631000,4.0,SOFT,13.0
ALO,0 days 00:01:34.647000,4.0,SOFT,14.0
LEC,,1.0,MEDIUM,1.0
LEC,0 days 00:01:13.585000,1.0,MEDIUM,2.0
LEC,0 days 00:01:53.101000,1.0,MEDIUM,3.0
LEC,0 days 00:01:13.585000,1.0,MEDIUM,4.0
LEC,0 days 00:02:02.827000,1.0,MEDIUM,5.0
LEC,,1.0,MEDIUM,6.0
LEC,,2.0,MEDIUM,7.0
LEC,0 days 00:01:13.150000,2.0,MEDIUM,8.0
LEC,0 days 00:01:29.780000,2.0,MEDIUM,9.0
LEC,0 days 00:01:59.904000,3.0,SOFT,1.0
LEC,0 days 00:01:22.859000,3.0,SOFT,2.0
LEC,0 days 00:01:28.449000,3.0,SOFT,3.0
LEC,0 days 00:01:48.111000,3.0,SOFT,4.0
LEC,0 days 00:01:11.915000,3.0,SOFT,5.0
LEC,0 days 00:01:34.200000,3.0,SOFT,6.0
LEC,,4.0,SOFT,7.0
LEC,0 days 00:01:17.445000,4.0,SOFT,8.0
LEC,0 days 00:01:17.005000,4.0,SOFT,9.0
LEC,0 days 00:01:16.895000,4.0,SOFT,10.0
LEC,0 days 00:01:16.600000,4.0,SOFT,11.0
LEC,0 days 00:01:16.396000,4.0,SOFT,12.0
LEC,0 days 00:01:16.538000,4.0,SOFT,13.0
LEC,0 days 00:01:16.907000,4.0,SOFT,14.0
LEC,0 days 00:01:16.818000,4.0,SOFT,15.0
LEC,0 days 00:01:16.404000,4.0,SOFT,16.0
LEC,0 days 00:01:30.418000,4.0,SOFT,17.0
LEC,0 days 00:01:16.698000,4.0,SOFT,18.0
LEC,0 days 00:01:18.091000,4.0,SOFT,19.0
LEC,,4.0,SOFT,20.0
LEC,0 days 00:01:39.759000,4.0,SOFT,21.0
STR,,1.0,MEDIUM,1.0
STR,0 days 00:01:14.298000,1.0,MEDIUM,2.0
STR,0 days 00:01:31.326000,1.0,MEDIUM,3.0
STR,0 days 00:01:13.146000,1.0,MEDIUM,4.0
STR,0 days 00:01:53.146000,1.0,MEDIUM,5.0
STR,0 days 00:01:13.035000,1.0,MEDIUM,6.0
STR,,1.0,MEDIUM,7.0
STR,,2.0,SOFT,1.0
STR,0 days 00:01:11.835000,2.0,SOFT,2.0
STR,0 days 00:01:59.148000,2.0,SOFT,3.0
STR,0 days 00:01:43.414000,2.0,SOFT,4.0
STR,0 days 00:01:11.872000,2.0,SOFT,5.0
STR,0 days 00:01:41.814000,2.0,SOFT,6.0
STR,,3.0,MEDIUM,8.0
STR,0 days 00:01:16.774000,3.0,MEDIUM,9.0
STR,0 days 00:01:16.218000,3.0,MEDIUM,10.0
STR,0 days 00:01:21.093000,3.0,MEDIUM,11.0
STR,0 days 00:01:17.462000,3.0,MEDIUM,12.0
STR,0 days 00:01:16.923000,3.0,MEDIUM,13.0
STR,0 days 00:01:16.807000,3.0,MEDIUM,14.0
STR,0 days 00:01:16.927000,3.0,MEDIUM,15.0
STR,0 days 00:01:16.986000,3.0,MEDIUM,16.0
STR,0 days 00:01:16.873000,3.0,MEDIUM,17.0
STR,0 days 00:01:20.280000,3.0,MEDIUM,18.0
STR,0 days 00:01:35.725000,4.0,SOFT,7.0
STR,0 days 00:01:15.638000,4.0,SOFT,8.0
STR,0 days 00:01:16.298000,4.0,SOFT,9.0
STR,0 days 00:01:16.356000,4.0,SOFT,10.0
STR,0 days 00:01:17.071000,4.0,SOFT,11.0
STR,0 days 00:02:29.933000,4.0,SOFT,12.0
STR,0 days 00:01:40.591000,4.0,SOFT,13.0
MAG,,1.0,MEDIUM,1.0
MAG,0 days 00:01:13.938000,1.0,MEDIUM,2.0
MAG,0 days 00:01:58.492000,1.0,MEDIUM,3.0
MAG,0 days 00:01:38.090000,1.0,MEDIUM,4.0
MAG,,1.0,MEDIUM,5.0
MAG,,2.0,SOFT,1.0
MAG,0 days 00:01:12.404000,2.0,SOFT,2.0
MAG,0 days 00:02:16.215000,2.0,SOFT,3.0
MAG,0 days 00:01:46.512000,2.0,SOFT,4.0
MAG,0 days 00:01:12.469000,2.0,SOFT,5.0
MAG,0 days 00:01:33.713000,2.0,SOFT,6.0
MAG,,3.0,SOFT,7.0
MAG,0 days 00:01:16.856000,3.0,SOFT,8.0
MAG,0 days 00:01:16.967000,3.0,SOFT,9.0
MAG,0 days 00:01:17.268000,3.0,SOFT,10.0
MAG,0 days 00:01:17.590000,3.0,SOFT,11.0
MAG,0 days 00:01:17.504000,3.0,SOFT,12.0
MAG,0 days 00:01:17.180000,3.0,SOFT,13.0
MAG,0 days 00:01:17.878000,3.0,SOFT,14.0
MAG,0 days 00:01:18.361000,3.0,SOFT,15.0
MAG,0 days 00:01:18.384000,3.0,SOFT,16.0
MAG,0 days 00:01:18.341000,3.0,SOFT,17.0
MAG,0 days 00:01:18.074000,3.0,SOFT,18.0
MAG,0 days 00:01:18.451000,3.0,SOFT,19.0
MAG,0 days 00:01:19.548000,3.0,SOFT,20.0
MAG,0 days 00:01:18.711000,3.0,SOFT,21.0
MAG,0 days 00:02:01.357000,3.0,SOFT,22.0
MAG,0 days 00:01:49.360000,3.0,SOFT,23.0
TSU,,1.0,HARD,1.0
TSU,0 days 00:01:14.750000,1.0,HARD,2.0
TSU,0 days 00:01:55.218000,1.0,HARD,3.0
TSU,0 days 00:01:26.509000,1.0,HARD,4.0
TSU,0 days 00:01:13.370000,1.0,HARD,5.0
TSU,,1.0,HARD,6.0
TSU,,2.0,SOFT,1.0
TSU,0 days 00:01:33.425000,2.0,SOFT,2.0
TSU,0 days 00:01:11.946000,2.0,SOFT,3.0
TSU,0 days 00:01:58.495000,2.0,SOFT,4.0
TSU,0 days 00:01:51.039000,2.0,SOFT,5.0
TSU,0 days 00:01:11.720000,2.0,SOFT,6.0
TSU,0 days 00:01:34.565000,2.0,SOFT,7.0
TSU,,3.0,HARD,7.0
TSU,0 days 00:01:17.516000,3.0,HARD,8.0
TSU,0 days 00:01:16.548000,3.0,HARD,9.0
TSU,0 days 00:01:16.480000,3.0,HARD,10.0
TSU,0 days 00:01:17.146000,3.0,HARD,11.0
TSU,0 days 00:01:17.143000,3.0,HARD,12.0
TSU,0 days 00:01:17.099000,3.0,HARD,13.0
TSU,0 days 00:01:16.954000,3.0,HARD,14.0
TSU,0 days 00:01:16.931000,3.0,HARD,15.0
TSU,0 days 00:01:17.781000,3.0,HARD,16.0
TSU,0 days 00:01:17.182000,3.0,HARD,17.0
TSU,0 days 00:01:18.074000,3.0,HARD,18.0
TSU,0 days 00:01:17.137000,3.0,HARD,19.0
TSU,0 days 00:01:17.374000,3.0,HARD,20.0
TSU,0 days 00:01:17.349000,3.0,HARD,21.0
