driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
ALO,Aston Martin,2.0,finished,0
GAS,Alpine,3.0,finished,0
PER,Red Bull Racing,4.0,finished,0
SAI,Ferrari,5.0,finished,0
HAM,Mercedes,6.0,finished,0
NOR,McLaren,7.0,finished,0
ALB,Williams,8.0,finished,0
PIA,McLaren,9.0,finished,0
OCO,Alpine,10.0,finished,0
STR,Aston Martin,11.0,finished,0
HUL,Haas F1 Team,12.0,finished,0
LAW,AlphaTauri,13.0,finished,0
BOT,Alfa Romeo,14.0,finished,0
TSU,AlphaTauri,15.0,finished,0
MAG,Haas F1 Team,16.0,finished,0
RUS,Mercedes,17.0,finished,0
ZHO,Alfa Romeo,18.0,accident,0
LEC,Ferrari,19.0,undertray,0
SAR,Williams,20.0,accident,0
