driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PER,Red Bull Racing,2.0,finished,0
SAI,Ferrari,3.0,finished,0
LEC,Ferrari,4.0,finished,0
RUS,Mercedes,5.0,finished,0
HAM,Mercedes,6.0,finished,0
ALB,Williams,7.0,finished,0
NOR,McLaren,8.0,finished,0
ALO,Aston Martin,9.0,finished,0
BOT,Alfa Romeo,10.0,finished,0
LAW,AlphaTauri,11.0,finished,0
PIA,McLaren,12.0,finished,0
SAR,Williams,13.0,finished,0
ZHO,Alfa Romeo,14.0,finished,0
GAS,Alpine,15.0,finished,0
STR,Aston Martin,16.0,finished,0
HUL,Haas F1 Team,17.0,lapped,0
MAG,Haas F1 Team,18.0,lapped,0
OCO,Alpine,,retired,1
TSU,AlphaTauri,,did not start,1
