driver,driver_number,team,position,q1,q2,q3
PER,11,Red Bull Racing,1.0,0 days 00:01:27.713000,0 days 00:01:27.328000,0 days 00:01:26.841000
ALO,14,Aston Martin,2.0,0 days 00:01:28.179000,0 days 00:01:27.097000,0 days 00:01:27.202000
SAI,55,Ferrari,3.0,0 days 00:01:27.686000,0 days 00:01:27.148000,0 days 00:01:27.349000
MAG,20,Haas F1 Team,4.0,0 days 00:01:27.809000,0 days 00:01:27.673000,0 days 00:01:27.767000
GAS,10,Alpine,5.0,0 days 00:01:28.061000,0 days 00:01:27.612000,0 days 00:01:27.786000
RUS,63,Mercedes,6.0,0 days 00:01:28.086000,0 days 00:01:27.743000,0 days 00:01:27.804000
LEC,16,Ferrari,7.0,0 days 00:01:27.713000,0 days 00:01:26.964000,0 days 00:01:27.861000
OCO,31,Alpine,8.0,0 days 00:01:27.872000,0 days 00:01:27.444000,0 days 00:01:27.935000
VER,1,Red Bull Racing,9.0,0 days 00:01:27.363000,0 days 00:01:26.814000,
BOT,77,Alfa Romeo,10.0,0 days 00:01:27.864000,0 days 00:01:27.564000,
ALB,23,Williams,11.0,0 days 00:01:28.234000,0 days 00:01:27.795000,
HUL,27,Haas F1 Team,12.0,0 days 00:01:27.945000,0 days 00:01:27.903000,
HAM,44,Mercedes,13.0,0 days 00:01:27.846000,0 days 00:01:27.975000,
ZHO,24,Alfa Romeo,14.0,0 days 00:01:28.180000,0 days 00:01:28.091000,
DEV,21,AlphaTauri,15.0,0 days 00:01:28.325000,0 days 00:01:28.395000,
NOR,4,McLaren,16.0,0 days 00:01:28.394000,,
TSU,22,AlphaTauri,17.0,0 days 00:01:28.429000,,
STR,18,Aston Martin,18.0,0 days 00:01:28.476000,,
PIA,81,McLaren,19.0,0 days 00:01:28.484000,,
SAR,2,Williams,20.0,0 days 00:01:28.577000,,
