driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,HARD,1.0
VER,0 days 00:01:34.913000,1.0,HARD,2.0
VER,0 days 00:01:55.400000,1.0,HARD,3.0
VER,0 days 00:01:33.238000,1.0,HARD,4.0
VER,0 days 00:01:46.493000,1.0,HARD,5.0
VER,0 days 00:01:35.063000,1.0,HARD,6.0
VER,0 days 00:01:30.760000,1.0,HARD,7.0
VER,0 days 00:01:53.730000,1.0,HARD,8.0
VER,0 days 00:01:29.883000,1.0,HARD,9.0
VER,0 days 00:02:17.530000,1.0,HARD,10.0
VER,0 days 00:01:29.316000,1.0,HARD,11.0
VER,0 days 00:01:41.555000,1.0,HARD,12.0
VER,,2.0,HARD,13.0
VER,0 days 00:01:43.091000,2.0,HARD,14.0
VER,0 days 00:01:34.080000,2.0,HARD,15.0
VER,0 days 00:01:33.854000,2.0,HARD,16.0
VER,0 days 00:01:34.062000,2.0,HARD,17.0
VER,0 days 00:01:33.624000,2.0,HARD,18.0
VER,0 days 00:01:32.600000,2.0,HARD,19.0
VER,0 days 00:01:40.687000,2.0,HARD,20.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:27.428000,3.0,SOFT,2.0
VER,0 days 00:02:15.121000,3.0,SOFT,3.0
VER,0 days 00:02:16.351000,4.0,HARD,21.0
VER,0 days 00:02:10.509000,4.0,HARD,22.0
VER,0 days 00:02:18.574000,4.0,HARD,23.0
SAR,,1.0,MEDIUM,1.0
SAR,0 days 00:01:42.684000,1.0,MEDIUM,2.0
SAR,0 days 00:01:35.334000,1.0,MEDIUM,3.0
SAR,0 days 00:01:53.765000,1.0,MEDIUM,4.0
SAR,0 days 00:01:34.017000,1.0,MEDIUM,5.0
SAR,0 days 00:02:06.884000,1.0,MEDIUM,6.0
SAR,0 days 00:01:32.189000,1.0,MEDIUM,7.0
SAR,0 days 00:01:48.373000,1.0,MEDIUM,8.0
SAR,0 days 00:01:58.976000,2.0,MEDIUM,9.0
SAR,0 days 00:01:33.469000,2.0,MEDIUM,10.0
SAR,0 days 00:01:32.871000,2.0,MEDIUM,11.0
SAR,0 days 00:01:33.600000,2.0,MEDIUM,12.0
SAR,0 days 00:01:32.593000,2.0,MEDIUM,13.0
