driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PIA,McLaren,2.0,finished,0
NOR,McLaren,3.0,finished,0
RUS,Mercedes,4.0,finished,0
LEC,Ferrari,5.0,finished,0
ALO,Aston Martin,6.0,finished,0
OCO,Alpine,7.0,finished,0
BOT,Alfa Romeo,8.0,finished,0
ZHO,Alfa Romeo,9.0,finished,0
PER,Red Bull Racing,10.0,finished,0
STR,Aston Martin,11.0,finished,0
GAS,Alpine,12.0,finished,0
ALB,Williams,13.0,finished,0
MAG,Haas F1 Team,14.0,lapped,0
TSU,AlphaTauri,15.0,lapped,0
HUL,Haas F1 Team,16.0,lapped,0
LAW,AlphaTauri,17.0,lapped,0
SAR,Williams,,retired,1
HAM,Mercedes,,retired,1
SAI,Ferrari,,did not start,1
