driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:35.066000,1.0,MEDIUM,2.0
VER,,1.0,MEDIUM,3.0
VER,0 days 00:01:34.201000,1.0,MEDIUM,4.0
VER,,1.0,MEDIUM,5.0
VER,0 days 00:02:18.906000,1.0,MEDIUM,6.0
VER,0 days 00:01:50.085000,1.0,MEDIUM,7.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:32.852000,2.0,SOFT,2.0
VER,,2.0,SOFT,3.0
VER,,2.0,SOFT,4.0
VER,0 days 00:01:47.262000,2.0,SOFT,5.0
VER,,3.0,MEDIUM,8.0
VER,0 days 00:01:42.042000,3.0,MEDIUM,9.0
VER,0 days 00:01:38.221000,3.0,MEDIUM,10.0
VER,0 days 00:01:42.879000,3.0,MEDIUM,11.0
VER,0 days 00:01:38.330000,3.0,MEDIUM,12.0
VER,0 days 00:01:38.567000,3.0,MEDIUM,13.0
VER,0 days 00:01:38.579000,3.0,MEDIUM,14.0
VER,0 days 00:01:38.649000,3.0,MEDIUM,15.0
VER,0 days 00:01:39.165000,3.0,MEDIUM,16.0
VER,0 days 00:02:25.051000,3.0,MEDIUM,17.0
VER,,3.0,MEDIUM,18.0
SAR,,1.0,MEDIUM,1.0
SAR,0 days 00:01:36.897000,1.0,MEDIUM,2.0
SAR,0 days 00:02:10.640000,1.0,MEDIUM,3.0
SAR,0 days 00:01:34.924000,1.0,MEDIUM,4.0
SAR,0 days 00:02:16.096000,1.0,MEDIUM,5.0
SAR,,2.0,MEDIUM,6.0
SAR,0 days 00:01:35.638000,2.0,MEDIUM,7.0
SAR,0 days 00:02:03.551000,2.0,MEDIUM,8.0
SAR,,3.0,SOFT,1.0
SAR,0 days 00:01:34.973000,3.0,SOFT,2.0
SAR,0 days 00:02:16.452000,3.0,SOFT,3.0
SAR,0 days 00:02:05.190000,3.0,SOFT,4.0
SAR,0 days 00:01:34.327000,3.0,SOFT,5.0
SAR,0 days 00:02:03.741000,3.0,SOFT,6.0
SAR,,4.0,SOFT,7.0
SAR,0 days 00:02:01.328000,5.0,MEDIUM,9.0
SAR,0 days 00:01:38.482000,5.0,MEDIUM,10.0
SAR,0 days 00:01:39.445000,5.0,MEDIUM,11.0
SAR,0 days 00:01:39.872000,5.0,MEDIUM,12.0
SAR,0 days 00:01:40.940000,5.0,MEDIUM,13.0
SAR,0 days 00:01:40.011000,5.0,MEDIUM,14.0
SAR,0 days 00:01:41.058000,5.0,MEDIUM,15.0
SAR,0 days 00:01:40.360000,5.0,MEDIUM,16.0
SAR,0 days 00:01:40.528000,5.0,MEDIUM,17.0
SAR,0 days 00:01:40.220000,5.0,MEDIUM,18.0
SAR,0 days 00:01:40.308000,5.0,MEDIUM,19.0
SAR,0 days 00:02:24.040000,5.0,MEDIUM,20.0
SAR,,5.0,MEDIUM,21.0
NOR,,1.0,HARD,1.0
NOR,0 days 00:01:35.592000,1.0,HARD,2.0
NOR,,1.0,HARD,3.0
NOR,0 days 00:01:34.540000,1.0,HARD,4.0
NOR,0 days 00:02:21.432000,1.0,HARD,5.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:32.890000,2.0,SOFT,2.0
NOR,0 days 00:02:29.804000,2.0,SOFT,3.0
NOR,0 days 00:02:25.040000,2.0,SOFT,4.0
NOR,0 days 00:01:32.711000,2.0,SOFT,5.0
NOR,0 days 00:02:04.133000,2.0,SOFT,6.0
NOR,,3.0,SOFT,7.0
NOR,0 days 00:01:38.031000,3.0,SOFT,8.0
NOR,0 days 00:01:37.879000,3.0,SOFT,9.0
NOR,0 days 00:01:38.341000,3.0,SOFT,10.0
NOR,0 days 00:01:37.894000,3.0,SOFT,11.0
NOR,0 days 00:01:38.675000,3.0,SOFT,12.0
NOR,0 days 00:01:46.374000,3.0,SOFT,13.0
NOR,0 days 00:02:01.176000,4.0,HARD,6.0
NOR,0 days 00:01:38.248000,4.0,HARD,7.0
NOR,0 days 00:01:41.236000,4.0,HARD,8.0
NOR,0 days 00:02:06.376000,4.0,HARD,9.0
NOR,0 days 00:02:19.837000,4.0,HARD,10.0
GAS,,1.0,HARD,1.0
GAS,0 days 00:01:36.606000,1.0,HARD,2.0
GAS,,1.0,HARD,3.0
GAS,0 days 00:01:35.226000,1.0,HARD,4.0
GAS,,1.0,HARD,5.0
GAS,0 days 00:01:34.733000,1.0,HARD,6.0
GAS,,1.0,HARD,7.0
GAS,0 days 00:01:34.990000,1.0,HARD,8.0
GAS,0 days 00:01:58.093000,1.0,HARD,9.0
GAS,,2.0,SOFT,1.0
GAS,0 days 00:01:33.824000,2.0,SOFT,2.0
GAS,,2.0,SOFT,3.0
GAS,0 days 00:02:17.706000,2.0,SOFT,4.0
GAS,0 days 00:01:34.206000,2.0,SOFT,5.0
GAS,0 days 00:02:02.777000,2.0,SOFT,6.0
GAS,,3.0,HARD,10.0
GAS,0 days 00:01:38.872000,3.0,HARD,11.0
GAS,0 days 00:01:38.789000,3.0,HARD,12.0
