driver,team,position,status,dnf_flag
SAI,Ferrari,1.0,finished,0
NOR,McLaren,2.0,finished,0
HAM,Mercedes,3.0,finished,0
LEC,Ferrari,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
GAS,Alpine,6.0,finished,0
PIA,McLaren,7.0,finished,0
PER,Red Bull Racing,8.0,finished,0
LAW,AlphaTauri,9.0,finished,0
MAG,Haas F1 Team,10.0,finished,0
ALB,Williams,11.0,finished,0
ZHO,Alfa Romeo,12.0,finished,0
HUL,Haas F1 Team,13.0,finished,0
SAR,Williams,14.0,finished,0
ALO,Aston Martin,15.0,finished,0
RUS,Mercedes,,retired,1
BOT,Alfa Romeo,,retired,1
OCO,Alpine,,retired,1
TSU,AlphaTauri,,retired,1
STR,Aston Martin,,withdrew,0
