driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:10.436000,0 days 00:01:10.162000,0 days 00:01:10.727000
LEC,16,Ferrari,2.0,0 days 00:01:10.472000,0 days 00:01:10.303000,0 days 00:01:11.021000
STR,18,Aston Martin,3.0,0 days 00:01:10.551000,0 days 00:01:10.375000,0 days 00:01:11.344000
ALO,14,Aston Martin,4.0,0 days 00:01:10.557000,0 days 00:01:10.237000,0 days 00:01:11.387000
HAM,44,Mercedes,5.0,0 days 00:01:10.604000,0 days 00:01:10.266000,0 days 00:01:11.469000
RUS,63,Mercedes,6.0,0 days 00:01:10.340000,0 days 00:01:10.316000,0 days 00:01:11.590000
NOR,4,McLaren,7.0,0 days 00:01:10.623000,0 days 00:01:10.021000,0 days 00:01:11.987000
SAI,55,Ferrari,8.0,0 days 00:01:10.624000,0 days 00:01:10.254000,0 days 00:01:11.989000
PER,11,Red Bull Racing,9.0,0 days 00:01:10.668000,0 days 00:01:10.219000,0 days 00:01:12.321000
PIA,81,McLaren,10.0,0 days 00:01:10.519000,0 days 00:01:10.330000,
HUL,27,Haas F1 Team,11.0,0 days 00:01:10.475000,0 days 00:01:10.547000,
OCO,31,Alpine,12.0,0 days 00:01:10.763000,0 days 00:01:10.562000,
GAS,10,Alpine,13.0,0 days 00:01:10.793000,0 days 00:01:10.567000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:10.602000,0 days 00:01:10.723000,
ALB,23,Williams,15.0,0 days 00:01:10.621000,0 days 00:01:10.840000,
TSU,22,AlphaTauri,16.0,0 days 00:01:10.837000,,
RIC,3,AlphaTauri,17.0,0 days 00:01:10.843000,,
BOT,77,Alfa Romeo,18.0,0 days 00:01:10.955000,,
SAR,2,Williams,19.0,0 days 00:01:11.035000,,
ZHO,24,Alfa Romeo,20.0,0 days 00:01:11.275000,,
