driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
SAI,Ferrari,3.0,finished,0
PER,Red Bull Racing,4.0,finished,0
RUS,Mercedes,5.0,finished,0
GAS,Alpine,6.0,finished,0
STR,Aston Martin,7.0,finished,0
TSU,AlphaTauri,8.0,finished,0
ALB,Williams,9.0,finished,0
SAR,Williams,10.0,finished,0
HUL,Haas F1 Team,11.0,finished,0
BOT,Alfa Romeo,12.0,finished,0
ZHO,Alfa Romeo,13.0,lapped,0
MAG,Haas F1 Team,14.0,lapped,0
RIC,AlphaTauri,15.0,lapped,0
ALO,Aston Martin,,retired,1
PIA,McLaren,,retired,1
OCO,Alpine,,retired,1
HAM,Mercedes,,disqualified,1
LEC,Ferrari,,disqualified,1
