driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:25.980000,1.0,MEDIUM,2.0
VER,0 days 00:02:10.596000,1.0,MEDIUM,3.0
VER,0 days 00:02:16.670000,2.0,MEDIUM,4.0
VER,0 days 00:01:25.265000,2.0,MEDIUM,5.0
VER,0 days 00:02:03.731000,2.0,MEDIUM,6.0
VER,0 days 00:02:08.421000,3.0,MEDIUM,7.0
VER,0 days 00:01:24.958000,3.0,MEDIUM,8.0
VER,0 days 00:01:49.447000,3.0,MEDIUM,9.0
VER,,4.0,SOFT,1.0
VER,0 days 00:01:24.598000,4.0,SOFT,2.0
VER,0 days 00:02:11.415000,4.0,SOFT,3.0
VER,,5.0,MEDIUM,10.0
VER,0 days 00:01:29.746000,5.0,MEDIUM,11.0
VER,0 days 00:01:29.507000,5.0,MEDIUM,12.0
VER,0 days 00:01:37.111000,5.0,MEDIUM,13.0
VER,0 days 00:01:29.865000,5.0,MEDIUM,14.0
VER,0 days 00:01:29.610000,5.0,MEDIUM,15.0
VER,0 days 00:01:29.610000,5.0,MEDIUM,16.0
VER,0 days 00:01:31.794000,5.0,MEDIUM,17.0
VER,0 days 00:01:30.417000,5.0,MEDIUM,18.0
VER,0 days 00:01:30.208000,5.0,MEDIUM,19.0
VER,0 days 00:01:30.006000,5.0,MEDIUM,20.0
VER,0 days 00:01:29.666000,5.0,MEDIUM,21.0
VER,0 days 00:02:20.988000,5.0,MEDIUM,22.0
VER,0 days 00:02:14.683000,5.0,MEDIUM,23.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:25.020000,1.0,MEDIUM,2.0
NOR,0 days 00:02:16.397000,1.0,MEDIUM,3.0
NOR,0 days 00:01:24.332000,1.0,MEDIUM,4.0
NOR,0 days 00:02:25.033000,1.0,MEDIUM,5.0
NOR,0 days 00:02:02.444000,1.0,MEDIUM,6.0
NOR,0 days 00:01:24.501000,1.0,MEDIUM,7.0
NOR,0 days 00:01:42.471000,1.0,MEDIUM,8.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:23.517000,2.0,SOFT,2.0
NOR,0 days 00:02:22.410000,2.0,SOFT,3.0
NOR,,3.0,SOFT,4.0
NOR,0 days 00:01:30.295000,3.0,SOFT,5.0
NOR,,4.0,MEDIUM,9.0
NOR,0 days 00:01:30.039000,4.0,MEDIUM,10.0
NOR,0 days 00:01:29.713000,4.0,MEDIUM,11.0
NOR,0 days 00:01:29.795000,4.0,MEDIUM,12.0
NOR,0 days 00:01:29.604000,4.0,MEDIUM,13.0
NOR,0 days 00:01:29.537000,4.0,MEDIUM,14.0
NOR,0 days 00:01:29.347000,4.0,MEDIUM,15.0
NOR,0 days 00:01:29.758000,4.0,MEDIUM,16.0
NOR,0 days 00:01:31.484000,4.0,MEDIUM,17.0
NOR,0 days 00:01:48.448000,5.0,SOFT,1.0
NOR,0 days 00:01:58.104000,5.0,SOFT,2.0
NOR,0 days 00:02:24.780000,5.0,SOFT,3.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:25.750000,1.0,MEDIUM,2.0
GAS,,1.0,MEDIUM,3.0
GAS,,2.0,MEDIUM,4.0
GAS,0 days 00:01:25.465000,2.0,MEDIUM,5.0
GAS,,2.0,MEDIUM,6.0
GAS,0 days 00:02:13.567000,2.0,MEDIUM,7.0
GAS,0 days 00:01:25.398000,2.0,MEDIUM,8.0
GAS,0 days 00:01:59.874000,2.0,MEDIUM,9.0
GAS,,3.0,SOFT,1.0
GAS,0 days 00:01:24.517000,3.0,SOFT,2.0
GAS,,3.0,SOFT,3.0
GAS,0 days 00:02:20.072000,3.0,SOFT,4.0
GAS,0 days 00:01:25.045000,3.0,SOFT,5.0
GAS,0 days 00:01:50.937000,3.0,SOFT,6.0
GAS,,4.0,MEDIUM,10.0
GAS,0 days 00:01:30.351000,4.0,MEDIUM,11.0
GAS,0 days 00:01:30.569000,4.0,MEDIUM,12.0
GAS,0 days 00:01:30.186000,4.0,MEDIUM,13.0
GAS,0 days 00:01:30.068000,4.0,MEDIUM,14.0
GAS,0 days 00:01:30.169000,4.0,MEDIUM,15.0
GAS,0 days 00:01:30.231000,4.0,MEDIUM,16.0
GAS,0 days 00:01:30.325000,4.0,MEDIUM,17.0
GAS,0 days 00:01:30.517000,4.0,MEDIUM,18.0
GAS,0 days 00:01:30.456000,4.0,MEDIUM,19.0
GAS,0 days 00:02:12.732000,4.0,MEDIUM,20.0
GAS,0 days 00:02:03.045000,4.0,MEDIUM,21.0
PER,,1.0,MEDIUM,1.0
PER,0 days 00:01:51.495000,1.0,MEDIUM,2.0
PER,0 days 00:01:25.600000,1.0,MEDIUM,3.0
PER,0 days 00:02:18.591000,1.0,MEDIUM,4.0
