driver,LapTime,Stint,Compound,TyreLife
VER,0 days 00:01:39.005000,1.0,MEDIUM,1.0
VER,0 days 00:01:19.848000,1.0,MEDIUM,2.0
VER,0 days 00:01:54.645000,1.0,MEDIUM,3.0
VER,0 days 00:01:35.255000,1.0,MEDIUM,4.0
VER,0 days 00:01:18.320000,1.0,MEDIUM,5.0
VER,0 days 00:02:02.305000,1.0,MEDIUM,6.0
VER,0 days 00:01:17.981000,1.0,MEDIUM,7.0
VER,,1.0,MEDIUM,8.0
VER,0 days 00:01:37.458000,2.0,SOFT,1.0
VER,0 days 00:01:17.707000,2.0,SOFT,2.0
VER,0 days 00:02:03.638000,2.0,SOFT,3.0
VER,0 days 00:01:53.509000,3.0,SOFT,4.0
VER,0 days 00:01:17.658000,3.0,SOFT,5.0
VER,,3.0,SOFT,6.0
VER,0 days 00:02:00.875000,4.0,MEDIUM,9.0
VER,0 days 00:01:24.575000,4.0,MEDIUM,10.0
VER,0 days 00:01:23.503000,4.0,MEDIUM,11.0
VER,0 days 00:01:23.947000,4.0,MEDIUM,12.0
VER,0 days 00:01:23.068000,4.0,MEDIUM,13.0
VER,0 days 00:02:18.448000,4.0,MEDIUM,14.0
VER,,4.0,MEDIUM,15.0
SAR,0 days 00:01:43.297000,1.0,MEDIUM,1.0
SAR,0 days 00:01:48.473000,1.0,MEDIUM,2.0
SAR,0 days 00:01:19.809000,1.0,MEDIUM,3.0
SAR,0 days 00:01:56.957000,1.0,MEDIUM,4.0
SAR,0 days 00:01:19.183000,1.0,MEDIUM,5.0
SAR,0 days 00:01:56.888000,1.0,MEDIUM,6.0
SAR,,1.0,MEDIUM,7.0
SAR,0 days 00:01:51.752000,2.0,SOFT,1.0
SAR,0 days 00:01:18.578000,2.0,SOFT,2.0
SAR,0 days 00:01:56.449000,2.0,SOFT,3.0
SAR,0 days 00:01:44.346000,2.0,SOFT,4.0
SAR,0 days 00:01:18.784000,2.0,SOFT,5.0
SAR,,2.0,SOFT,6.0
SAR,0 days 00:01:45.619000,3.0,SOFT,7.0
SAR,0 days 00:01:23.951000,3.0,SOFT,8.0
SAR,0 days 00:01:24,3.0,SOFT,9.0
SAR,0 days 00:01:28.925000,3.0,SOFT,10.0
SAR,0 days 00:01:24.308000,3.0,SOFT,11.0
SAR,0 days 00:01:24.205000,3.0,SOFT,12.0
SAR,0 days 00:01:37.164000,3.0,SOFT,13.0
SAR,0 days 00:01:31.466000,4.0,SOFT,14.0
SAR,0 days 00:01:25.437000,4.0,SOFT,15.0
SAR,,4.0,SOFT,16.0
RIC,0 days 00:01:36.850000,1.0,MEDIUM,1.0
RIC,0 days 00:01:19.854000,1.0,MEDIUM,2.0
RIC,0 days 00:02:24.907000,1.0,MEDIUM,3.0
RIC,0 days 00:01:41.747000,1.0,MEDIUM,4.0
RIC,0 days 00:01:19.210000,1.0,MEDIUM,5.0
RIC,0 days 00:02:09.600000,1.0,MEDIUM,6.0
RIC,0 days 00:01:40.525000,1.0,MEDIUM,7.0
RIC,0 days 00:01:19.405000,1.0,MEDIUM,8.0
RIC,,1.0,MEDIUM,9.0
RIC,0 days 00:01:58.605000,2.0,SOFT,1.0
RIC,0 days 00:01:18.848000,2.0,SOFT,2.0
RIC,0 days 00:02:18.431000,2.0,SOFT,3.0
RIC,0 days 00:01:43.584000,2.0,SOFT,4.0
RIC,0 days 00:01:18.534000,2.0,SOFT,5.0
RIC,,2.0,SOFT,6.0
RIC,0 days 00:01:51.501000,3.0,MEDIUM,10.0
RIC,0 days 00:01:25.442000,3.0,MEDIUM,11.0
RIC,0 days 00:01:25.730000,3.0,MEDIUM,12.0
RIC,0 days 00:01:24.628000,3.0,MEDIUM,13.0
RIC,0 days 00:01:24.412000,3.0,MEDIUM,14.0
RIC,0 days 00:01:23.356000,3.0,MEDIUM,15.0
RIC,0 days 00:01:23.433000,3.0,MEDIUM,16.0
RIC,0 days 00:01:23.696000,3.0,MEDIUM,17.0
RIC,0 days 00:01:23.496000,3.0,MEDIUM,18.0
RIC,,3.0,MEDIUM,19.0
RIC,0 days 00:01:34.191000,4.0,MEDIUM,20.0
RIC,0 days 00:01:23.265000,4.0,MEDIUM,21.0
RIC,0 days 00:01:23.272000,4.0,MEDIUM,22.0
RIC,0 days 00:01:48.061000,4.0,MEDIUM,23.0
RIC,,4.0,MEDIUM,24.0
NOR,0 days 00:01:43.589000,1.0,MEDIUM,1.0
NOR,0 days 00:01:18.976000,1.0,MEDIUM,2.0
NOR,0 days 00:02:09.468000,1.0,MEDIUM,3.0
NOR,0 days 00:01:35.724000,1.0,MEDIUM,4.0
NOR,0 days 00:01:18.201000,1.0,MEDIUM,5.0
NOR,,1.0,MEDIUM,6.0
