driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:08.044000,1.0,MEDIUM,2.0
VER,0 days 00:01:55.371000,1.0,MEDIUM,3.0
VER,0 days 00:01:07.518000,1.0,MEDIUM,4.0
VER,0 days 00:01:58.434000,1.0,MEDIUM,5.0
VER,0 days 00:01:44.875000,1.0,MEDIUM,6.0
VER,0 days 00:01:06.645000,1.0,MEDIUM,7.0
VER,0 days 00:01:25.373000,1.0,MEDIUM,8.0
VER,,2.0,MEDIUM,9.0
VER,0 days 00:01:07.035000,2.0,MEDIUM,10.0
VER,0 days 00:01:19.419000,2.0,MEDIUM,11.0
VER,,3.0,MEDIUM,12.0
VER,0 days 00:01:10.958000,3.0,MEDIUM,13.0
VER,0 days 00:01:10.822000,3.0,MEDIUM,14.0
VER,0 days 00:01:25.223000,3.0,MEDIUM,15.0
VER,,3.0,MEDIUM,16.0
VER,,4.0,MEDIUM,17.0
VER,0 days 00:01:10.497000,4.0,MEDIUM,18.0
VER,0 days 00:01:09.950000,4.0,MEDIUM,19.0
VER,0 days 00:01:10.281000,4.0,MEDIUM,20.0
VER,0 days 00:01:15.450000,4.0,MEDIUM,21.0
VER,,5.0,SOFT,1.0
VER,0 days 00:01:05.685000,5.0,SOFT,2.0
VER,0 days 00:01:46.843000,5.0,SOFT,3.0
VER,,6.0,MEDIUM,22.0
VER,0 days 00:01:17.623000,6.0,MEDIUM,23.0
VER,0 days 00:01:38.306000,6.0,MEDIUM,24.0
VER,0 days 00:02:20.873000,6.0,MEDIUM,25.0
SAR,,1.0,SOFT,1.0
SAR,0 days 00:01:08.325000,1.0,SOFT,2.0
SAR,0 days 00:01:51.034000,1.0,SOFT,3.0
SAR,0 days 00:01:07.806000,1.0,SOFT,4.0
SAR,0 days 00:01:46.714000,1.0,SOFT,5.0
SAR,0 days 00:01:38.363000,1.0,SOFT,6.0
SAR,0 days 00:01:07.645000,1.0,SOFT,7.0
SAR,0 days 00:01:24.704000,1.0,SOFT,8.0
SAR,,2.0,SOFT,9.0
SAR,0 days 00:01:10.126000,2.0,SOFT,10.0
SAR,0 days 00:01:10.069000,2.0,SOFT,11.0
SAR,0 days 00:01:09.970000,2.0,SOFT,12.0
