driver,team,position,status,dnf_flag
RUS,Mercedes,1.0,finished,0
PIA,McLaren,2.0,finished,0
SAI,Ferrari,3.0,finished,0
HAM,Mercedes,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
HUL,Haas F1 Team,6.0,finished,0
PER,Red Bull Racing,7.0,finished,0
MAG,Haas F1 Team,8.0,finished,0
RIC,RB,9.0,finished,0
GAS,Alpine,10.0,finished,0
LEC,Ferrari,11.0,finished,0
OCO,Alpine,12.0,finished,0
STR,Aston Martin,13.0,lapped,0
TSU,RB,14.0,lapped,0
ALB,Williams,15.0,lapped,0
BOT,Kick Sauber,16.0,lapped,0
ZHO,Kick Sauber,17.0,lapped,0
ALO,Aston Martin,18.0,lapped,0
SAR,Williams,19.0,lapped,0
NOR,McLaren,20.0,lapped,0
