driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,SOFT,1.0
VER,0 days 00:02:22.301000,2.0,MEDIUM,1.0
VER,0 days 00:01:45.563000,2.0,MEDIUM,2.0
VER,0 days 00:02:10.484000,2.0,MEDIUM,3.0
VER,0 days 00:01:45.052000,2.0,MEDIUM,4.0
VER,0 days 00:02:24.886000,2.0,MEDIUM,5.0
VER,0 days 00:02:29.873000,2.0,MEDIUM,6.0
VER,,3.0,SOFT,2.0
VER,0 days 00:01:44.029000,3.0,SOFT,3.0
VER,,3.0,SOFT,4.0
VER,0 days 00:02:27.167000,3.0,SOFT,5.0
VER,0 days 00:02:11.666000,3.0,SOFT,6.0
VER,,4.0,MEDIUM,7.0
VER,0 days 00:01:50.270000,4.0,MEDIUM,8.0
VER,0 days 00:01:49.694000,4.0,MEDIUM,9.0
VER,0 days 00:01:51.875000,4.0,MEDIUM,10.0
VER,0 days 00:01:54.918000,4.0,MEDIUM,11.0
VER,0 days 00:01:49.216000,4.0,MEDIUM,12.0
VER,0 days 00:01:49.010000,4.0,MEDIUM,13.0
VER,0 days 00:01:54.148000,4.0,MEDIUM,14.0
VER,0 days 00:01:48.792000,4.0,MEDIUM,15.0
VER,0 days 00:01:52.181000,4.0,MEDIUM,16.0
VER,,4.0,MEDIUM,17.0
VER,0 days 00:02:26.927000,4.0,MEDIUM,18.0
RIC,,1.0,MEDIUM,1.0
RIC,0 days 00:01:47.646000,1.0,MEDIUM,2.0
RIC,,1.0,MEDIUM,3.0
RIC,0 days 00:01:46.269000,1.0,MEDIUM,4.0
RIC,,1.0,MEDIUM,5.0
RIC,0 days 00:01:46.166000,1.0,MEDIUM,6.0
RIC,0 days 00:02:11.624000,1.0,MEDIUM,7.0
RIC,,2.0,SOFT,1.0
RIC,0 days 00:01:45.056000,2.0,SOFT,2.0
RIC,,2.0,SOFT,3.0
RIC,,3.0,SOFT,4.0
RIC,0 days 00:02:04.684000,3.0,SOFT,5.0
RIC,,4.0,MEDIUM,8.0
RIC,0 days 00:01:51.034000,4.0,MEDIUM,9.0
RIC,0 days 00:01:51.375000,4.0,MEDIUM,10.0
RIC,0 days 00:01:51.206000,4.0,MEDIUM,11.0
RIC,0 days 00:01:50.661000,4.0,MEDIUM,12.0
RIC,0 days 00:01:50.711000,4.0,MEDIUM,13.0
RIC,0 days 00:01:50.586000,4.0,MEDIUM,14.0
RIC,0 days 00:01:52.728000,4.0,MEDIUM,15.0
RIC,0 days 00:01:54.163000,4.0,MEDIUM,16.0
RIC,0 days 00:01:52.105000,4.0,MEDIUM,17.0
RIC,0 days 00:01:53.047000,4.0,MEDIUM,18.0
RIC,0 days 00:01:54.117000,4.0,MEDIUM,19.0
RIC,,4.0,MEDIUM,20.0
RIC,,4.0,MEDIUM,21.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:47.458000,1.0,MEDIUM,2.0
NOR,,1.0,MEDIUM,3.0
NOR,0 days 00:01:55.706000,1.0,MEDIUM,4.0
NOR,0 days 00:01:45.156000,1.0,MEDIUM,5.0
NOR,0 days 00:02:17.780000,1.0,MEDIUM,6.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:47.864000,2.0,SOFT,2.0
NOR,0 days 00:02:22.047000,2.0,SOFT,3.0
NOR,0 days 00:01:50.254000,2.0,SOFT,4.0
NOR,,3.0,MEDIUM,7.0
NOR,0 days 00:01:49.273000,3.0,MEDIUM,8.0
NOR,0 days 00:01:49.020000,3.0,MEDIUM,9.0
NOR,0 days 00:01:48.907000,3.0,MEDIUM,10.0
NOR,0 days 00:01:49.696000,3.0,MEDIUM,11.0
NOR,0 days 00:01:50.378000,3.0,MEDIUM,12.0
NOR,0 days 00:01:49.835000,3.0,MEDIUM,13.0
NOR,0 days 00:01:56.191000,3.0,MEDIUM,14.0
NOR,0 days 00:02:10.072000,4.0,SOFT,5.0
NOR,0 days 00:01:51.695000,4.0,SOFT,6.0
NOR,0 days 00:01:51.048000,4.0,SOFT,7.0
NOR,0 days 00:01:50.238000,4.0,SOFT,8.0
NOR,0 days 00:01:48.899000,4.0,SOFT,9.0
NOR,0 days 00:02:25.122000,4.0,SOFT,10.0
NOR,,4.0,SOFT,11.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:46.806000,1.0,MEDIUM,2.0
GAS,0 days 00:02:17.995000,1.0,MEDIUM,3.0
GAS,0 days 00:01:46.155000,1.0,MEDIUM,4.0
GAS,,1.0,MEDIUM,5.0
GAS,0 days 00:01:53.538000,1.0,MEDIUM,6.0
GAS,,2.0,SOFT,1.0
GAS,0 days 00:01:45.425000,2.0,SOFT,2.0
GAS,,2.0,SOFT,3.0
GAS,0 days 00:02:12.524000,2.0,SOFT,4.0
GAS,0 days 00:01:45.391000,2.0,SOFT,5.0
GAS,0 days 00:02:03.324000,2.0,SOFT,6.0
GAS,,3.0,MEDIUM,7.0
GAS,0 days 00:01:49.421000,3.0,MEDIUM,8.0
GAS,0 days 00:01:50.494000,3.0,MEDIUM,9.0
GAS,0 days 00:01:50.434000,3.0,MEDIUM,10.0
GAS,0 days 00:01:50.349000,3.0,MEDIUM,11.0
GAS,0 days 00:01:50.189000,3.0,MEDIUM,12.0
GAS,0 days 00:01:49.945000,3.0,MEDIUM,13.0
GAS,0 days 00:01:50.627000,3.0,MEDIUM,14.0
GAS,0 days 00:02:23.951000,3.0,MEDIUM,15.0
GAS,,3.0,MEDIUM,16.0
PER,,1.0,MEDIUM,1.0
PER,0 days 00:01:58.028000,1.0,MEDIUM,2.0
PER,0 days 00:01:44.598000,1.0,MEDIUM,3.0
PER,,1.0,MEDIUM,4.0
PER,0 days 00:02:18.920000,1.0,MEDIUM,5.0
PER,0 days 00:02:02.299000,1.0,MEDIUM,6.0
PER,0 days 00:01:44.361000,1.0,MEDIUM,7.0
PER,0 days 00:02:02.636000,1.0,MEDIUM,8.0
PER,,2.0,SOFT,1.0
PER,0 days 00:01:43.490000,2.0,SOFT,2.0
PER,0 days 00:02:06.812000,2.0,SOFT,3.0
PER,,3.0,MEDIUM,9.0
PER,0 days 00:01:49.163000,3.0,MEDIUM,10.0
PER,0 days 00:01:48.907000,3.0,MEDIUM,11.0
PER,0 days 00:01:48.485000,3.0,MEDIUM,12.0
PER,0 days 00:01:50.033000,3.0,MEDIUM,13.0
PER,0 days 00:01:49,3.0,MEDIUM,14.0
PER,0 days 00:01:48.887000,3.0,MEDIUM,15.0
PER,0 days 00:01:49.106000,3.0,MEDIUM,16.0
PER,0 days 00:01:51.904000,3.0,MEDIUM,17.0
PER,0 days 00:01:50.239000,3.0,MEDIUM,18.0
PER,,3.0,MEDIUM,19.0
PER,0 days 00:02:26.400000,3.0,MEDIUM,20.0
ALO,,1.0,MEDIUM,1.0
ALO,0 days 00:01:46.871000,1.0,MEDIUM,2.0
ALO,0 days 00:02:27.264000,1.0,MEDIUM,3.0
ALO,0 days 00:02:01.688000,1.0,MEDIUM,4.0
ALO,0 days 00:02:18.355000,1.0,MEDIUM,5.0
ALO,0 days 00:01:45.462000,1.0,MEDIUM,6.0
ALO,0 days 00:02:24.609000,1.0,MEDIUM,7.0
ALO,,2.0,SOFT,1.0
ALO,0 days 00:01:44.683000,2.0,SOFT,2.0
ALO,,2.0,SOFT,3.0
ALO,,3.0,MEDIUM,8.0
ALO,0 days 00:01:51.533000,3.0,MEDIUM,9.0
ALO,0 days 00:01:51.638000,3.0,MEDIUM,10.0
ALO,0 days 00:01:53.991000,3.0,MEDIUM,11.0
ALO,0 days 00:01:51.216000,3.0,MEDIUM,12.0
ALO,0 days 00:01:51.497000,3.0,MEDIUM,13.0
ALO,0 days 00:01:50.731000,3.0,MEDIUM,14.0
ALO,0 days 00:01:49.262000,3.0,MEDIUM,15.0
ALO,0 days 00:01:51.556000,3.0,MEDIUM,16.0
ALO,0 days 00:01:51.086000,3.0,MEDIUM,17.0
ALO,0 days 00:01:52.493000,3.0,MEDIUM,18.0
ALO,0 days 00:01:52.568000,3.0,MEDIUM,19.0
ALO,0 days 00:01:54.247000,3.0,MEDIUM,20.0
ALO,,3.0,MEDIUM,21.0
ALO,,3.0,MEDIUM,22.0
LEC,,1.0,MEDIUM,1.0
LEC,0 days 00:01:45.812000,1.0,MEDIUM,2.0
LEC,,1.0,MEDIUM,3.0
LEC,0 days 00:02:13.227000,1.0,MEDIUM,4.0
LEC,,2.0,MEDIUM,5.0
LEC,0 days 00:01:44.867000,2.0,MEDIUM,6.0
LEC,0 days 00:02:10.787000,2.0,MEDIUM,7.0
LEC,0 days 00:01:44.202000,2.0,MEDIUM,8.0
LEC,0 days 00:02:06.310000,2.0,MEDIUM,9.0
LEC,0 days 00:02:23.991000,3.0,SOFT,1.0
LEC,0 days 00:01:43.484000,3.0,SOFT,2.0
LEC,0 days 00:02:15.286000,3.0,SOFT,3.0
LEC,0 days 00:01:53.841000,3.0,SOFT,4.0
LEC,0 days 00:01:49.988000,3.0,SOFT,5.0
LEC,0 days 00:02:14.093000,4.0,MEDIUM,10.0
LEC,0 days 00:01:46.609000,4.0,MEDIUM,11.0
LEC,0 days 00:01:48.814000,4.0,MEDIUM,12.0
LEC,0 days 00:01:49.235000,4.0,MEDIUM,13.0
LEC,,4.0,MEDIUM,14.0
LEC,0 days 00:02:27.914000,4.0,MEDIUM,15.0
STR,,1.0,MEDIUM,1.0
STR,0 days 00:02:14.182000,1.0,MEDIUM,2.0
STR,0 days 00:01:47.367000,1.0,MEDIUM,3.0
STR,,1.0,MEDIUM,4.0
STR,0 days 00:01:46.413000,1.0,MEDIUM,5.0
STR,,1.0,MEDIUM,6.0
STR,0 days 00:01:46.190000,1.0,MEDIUM,7.0
STR,0 days 00:02:09.243000,1.0,MEDIUM,8.0
STR,,2.0,SOFT,1.0
STR,0 days 00:01:44.093000,2.0,SOFT,2.0
STR,0 days 00:02:23.670000,2.0,SOFT,3.0
STR,0 days 00:02:20.841000,2.0,SOFT,4.0
STR,0 days 00:01:45.293000,2.0,SOFT,5.0
STR,0 days 00:02:06.547000,2.0,SOFT,6.0
STR,,3.0,MEDIUM,9.0
STR,0 days 00:01:49.846000,3.0,MEDIUM,10.0
STR,0 days 00:01:49.834000,3.0,MEDIUM,11.0
STR,0 days 00:02:13.502000,3.0,MEDIUM,12.0
STR,0 days 00:01:50.119000,3.0,MEDIUM,13.0
STR,0 days 00:01:50.256000,3.0,MEDIUM,14.0
STR,0 days 00:01:55.672000,3.0,MEDIUM,15.0
STR,0 days 00:02:13.604000,3.0,MEDIUM,16.0
STR,0 days 00:02:21.553000,3.0,MEDIUM,17.0
STR,,3.0,MEDIUM,18.0
TSU,,1.0,MEDIUM,1.0
TSU,0 days 00:01:48.006000,1.0,MEDIUM,2.0
TSU,,1.0,MEDIUM,3.0
TSU,0 days 00:01:45.648000,1.0,MEDIUM,4.0
TSU,,1.0,MEDIUM,5.0
TSU,,2.0,SOFT,1.0
TSU,0 days 00:01:44.645000,2.0,SOFT,2.0
TSU,,2.0,SOFT,3.0
TSU,0 days 00:02:24.665000,2.0,SOFT,4.0
TSU,0 days 00:01:56.099000,2.0,SOFT,5.0
TSU,,3.0,MEDIUM,6.0
TSU,0 days 00:01:51.887000,3.0,MEDIUM,7.0
TSU,0 days 00:01:51.775000,3.0,MEDIUM,8.0
TSU,0 days 00:01:51.749000,3.0,MEDIUM,9.0
TSU,0 days 00:01:50.944000,3.0,MEDIUM,10.0
TSU,0 days 00:01:53.569000,3.0,MEDIUM,11.0
TSU,0 days 00:01:50.476000,3.0,MEDIUM,12.0
TSU,0 days 00:01:50.792000,3.0,MEDIUM,13.0
TSU,0 days 00:01:50.579000,3.0,MEDIUM,14.0
TSU,0 days 00:01:49.945000,3.0,MEDIUM,15.0
TSU,0 days 00:01:50.484000,3.0,MEDIUM,16.0
TSU,0 days 00:01:51.128000,3.0,MEDIUM,17.0
TSU,,3.0,MEDIUM,18.0
TSU,,3.0,MEDIUM,19.0
ALB,,1.0,MEDIUM,1.0
ALB,0 days 00:01:46.421000,1.0,MEDIUM,2.0
ALB,0 days 00:02:24.690000,1.0,MEDIUM,3.0
ALB,0 days 00:02:05.679000,1.0,MEDIUM,4.0
ALB,0 days 00:01:45.124000,1.0,MEDIUM,5.0
ALB,0 days 00:02:24.545000,1.0,MEDIUM,6.0
ALB,0 days 00:01:52.755000,1.0,MEDIUM,7.0
ALB,,2.0,SOFT,1.0
ALB,0 days 00:01:44.737000,2.0,SOFT,2.0
ALB,,2.0,SOFT,3.0
ALB,0 days 00:02:10.579000,2.0,SOFT,4.0
ALB,,3.0,MEDIUM,8.0
ALB,0 days 00:01:50.168000,3.0,MEDIUM,9.0
ALB,0 days 00:01:50.615000,3.0,MEDIUM,10.0
ALB,0 days 00:01:56.338000,3.0,MEDIUM,11.0
ALB,0 days 00:01:49.908000,3.0,MEDIUM,12.0
ALB,0 days 00:01:50.187000,3.0,MEDIUM,13.0
ALB,0 days 00:01:49.677000,3.0,MEDIUM,14.0
ALB,0 days 00:01:49.743000,3.0,MEDIUM,15.0
ALB,0 days 00:01:51.563000,3.0,MEDIUM,16.0
ALB,0 days 00:01:49.921000,3.0,MEDIUM,17.0
ALB,0 days 00:01:54.086000,3.0,MEDIUM,18.0
ALB,0 days 00:02:13.531000,4.0,SOFT,5.0
ALB,,4.0,SOFT,6.0
ALB,0 days 00:02:29.016000,4.0,SOFT,7.0
ZHO,,1.0,MEDIUM,1.0
ZHO,0 days 00:01:50.010000,1.0,MEDIUM,2.0
ZHO,0 days 00:02:16.787000,1.0,MEDIUM,3.0
ZHO,0 days 00:01:47.883000,1.0,MEDIUM,4.0
ZHO,0 days 00:02:14.136000,1.0,MEDIUM,5.0
ZHO,0 days 00:01:47.884000,1.0,MEDIUM,6.0
ZHO,0 days 00:02:20.191000,1.0,MEDIUM,7.0
ZHO,,1.0,MEDIUM,8.0
ZHO,0 days 00:02:01.180000,1.0,MEDIUM,9.0
ZHO,,2.0,SOFT,1.0
ZHO,0 days 00:01:47.109000,2.0,SOFT,2.0
ZHO,0 days 00:02:28.528000,2.0,SOFT,3.0
ZHO,0 days 00:02:16.235000,2.0,SOFT,4.0
ZHO,0 days 00:01:45.947000,2.0,SOFT,5.0
ZHO,,2.0,SOFT,6.0
ZHO,0 days 00:01:46.067000,2.0,SOFT,7.0
ZHO,0 days 00:02:14.536000,2.0,SOFT,8.0
ZHO,,3.0,SOFT,9.0
