driver,driver_number,team,position,q1,q2,q3
LEC,16,Ferrari,1.0,0 days 00:01:42.775000,0 days 00:01:42.056000,0 days 00:01:41.365000
PIA,81,McLaren,2.0,0 days 00:01:43.033000,0 days 00:01:42.598000,0 days 00:01:41.686000
SAI,55,Ferrari,3.0,0 days 00:01:43.357000,0 days 00:01:42.503000,0 days 00:01:41.805000
PER,11,Red Bull Racing,4.0,0 days 00:01:43.213000,0 days 00:01:42.263000,0 days 00:01:41.813000
RUS,63,Mercedes,5.0,0 days 00:01:43.139000,0 days 00:01:42.329000,0 days 00:01:41.874000
VER,1,Red Bull Racing,6.0,0 days 00:01:43.097000,0 days 00:01:42.042000,0 days 00:01:42.023000
HAM,44,Mercedes,7.0,0 days 00:01:43.089000,0 days 00:01:42.765000,0 days 00:01:42.289000
ALO,14,Aston Martin,8.0,0 days 00:01:43.472000,0 days 00:01:42.426000,0 days 00:01:42.369000
COL,43,Williams,9.0,0 days 00:01:43.138000,0 days 00:01:42.473000,0 days 00:01:42.530000
ALB,23,Williams,10.0,0 days 00:01:42.899000,0 days 00:01:42.840000,0 days 00:01:42.859000
BEA,50,Haas F1 Team,11.0,0 days 00:01:43.471000,0 days 00:01:42.968000,
TSU,22,RB,12.0,0 days 00:01:43.337000,0 days 00:01:43.035000,
HUL,27,Haas F1 Team,13.0,0 days 00:01:43.101000,0 days 00:01:43.191000,
STR,18,Aston Martin,14.0,0 days 00:01:43.370000,0 days 00:01:43.404000,
RIC,3,RB,15.0,0 days 00:01:43.547000,,
GAS,10,Alpine,15.0,,0 days 00:01:43.179000,
NOR,4,McLaren,16.0,0 days 00:01:43.609000,,
BOT,77,Kick Sauber,17.0,0 days 00:01:43.618000,,
ZHO,24,Kick Sauber,18.0,0 days 00:01:44.246000,,
OCO,31,Alpine,19.0,0 days 00:01:44.504000,,
