driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:54.938000,0 days 00:01:53.837000,0 days 00:01:53.159000
LEC,16,Ferrari,2.0,0 days 00:01:55.349000,0 days 00:01:54.193000,0 days 00:01:53.754000
PER,11,Red Bull Racing,3.0,0 days 00:01:55.139000,0 days 00:01:54.470000,0 days 00:01:53.765000
HAM,44,Mercedes,4.0,0 days 00:01:55.692000,0 days 00:01:54.037000,0 days 00:01:53.835000
NOR,4,McLaren,5.0,0 days 00:01:55.582000,0 days 00:01:54.358000,0 days 00:01:53.981000
PIA,81,McLaren,6.0,0 days 00:01:54.835000,0 days 00:01:54.136000,0 days 00:01:54.027000
RUS,63,Mercedes,7.0,0 days 00:01:55.353000,0 days 00:01:54.095000,0 days 00:01:54.184000
SAI,55,Ferrari,8.0,0 days 00:01:55.169000,0 days 00:01:54.112000,0 days 00:01:54.477000
ALO,14,Aston Martin,9.0,0 days 00:01:55.489000,0 days 00:01:54.258000,0 days 00:01:54.765000
OCO,31,Alpine,10.0,0 days 00:01:55.417000,0 days 00:01:54.460000,0 days 00:01:54.810000
ALB,23,Williams,11.0,0 days 00:01:55.722000,0 days 00:01:54.473000,
GAS,10,Alpine,12.0,0 days 00:01:54.911000,0 days 00:01:54.635000,
RIC,3,RB,13.0,0 days 00:01:55.451000,0 days 00:01:54.682000,
BOT,77,Kick Sauber,14.0,0 days 00:01:55.531000,0 days 00:01:54.764000,
STR,18,Aston Martin,15.0,0 days 00:01:56.072000,0 days 00:01:55.716000,
HUL,27,Haas F1 Team,16.0,0 days 00:01:56.308000,,
MAG,20,Haas F1 Team,17.0,0 days 00:01:56.500000,,
TSU,22,RB,18.0,0 days 00:01:56.593000,,
SAR,2,Williams,19.0,0 days 00:01:57.230000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:57.775000,,
