driver,team,position,status,dnf_flag
HAM,Mercedes,1.0,finished,0
PIA,McLaren,2.0,finished,0
LEC,Ferrari,3.0,finished,0
VER,Red Bull Racing,4.0,finished,0
NOR,McLaren,5.0,finished,0
SAI,Ferrari,6.0,finished,0
PER,Red Bull Racing,7.0,finished,0
ALO,Aston Martin,8.0,finished,0
OCO,Alpine,9.0,finished,0
RIC,RB,10.0,finished,0
STR,Aston Martin,11.0,finished,0
ALB,Williams,12.0,finished,0
GAS,Alpine,13.0,finished,0
MAG,Haas F1 Team,14.0,finished,0
BOT,Kick Sauber,15.0,finished,0
TSU,RB,16.0,finished,0
SAR,Williams,17.0,finished,0
HUL,Haas F1 Team,18.0,finished,0
ZHO,Kick Sauber,,retired,1
RUS,Mercedes,,disqualified,1
