driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:13.815000,1.0,MEDIUM,2.0
VER,0 days 00:02:00.240000,1.0,MEDIUM,3.0
VER,0 days 00:01:12.749000,1.0,MEDIUM,4.0
VER,0 days 00:02:01.505000,1.0,MEDIUM,5.0
VER,0 days 00:02:10.049000,2.0,MEDIUM,6.0
VER,0 days 00:01:30.512000,2.0,MEDIUM,7.0
VER,0 days 00:01:11.712000,2.0,MEDIUM,8.0
VER,0 days 00:01:35.885000,2.0,MEDIUM,9.0
VER,,3.0,MEDIUM,10.0
VER,0 days 00:01:15.806000,3.0,MEDIUM,11.0
VER,0 days 00:01:15.774000,3.0,MEDIUM,12.0
VER,0 days 00:01:15.825000,3.0,MEDIUM,13.0
VER,0 days 00:01:15.803000,3.0,MEDIUM,14.0
VER,0 days 00:01:15.924000,3.0,MEDIUM,15.0
VER,0 days 00:01:15.965000,3.0,MEDIUM,16.0
VER,0 days 00:01:16.072000,3.0,MEDIUM,17.0
VER,0 days 00:01:15.509000,3.0,MEDIUM,18.0
VER,0 days 00:01:15.158000,3.0,MEDIUM,19.0
VER,0 days 00:01:15.749000,3.0,MEDIUM,20.0
VER,0 days 00:01:14.877000,3.0,MEDIUM,21.0
VER,0 days 00:01:14.533000,3.0,MEDIUM,22.0
VER,0 days 00:01:14.430000,3.0,MEDIUM,23.0
VER,0 days 00:01:14.635000,3.0,MEDIUM,24.0
VER,0 days 00:01:19.438000,3.0,MEDIUM,25.0
VER,,4.0,SOFT,1.0
VER,0 days 00:01:18.221000,4.0,SOFT,2.0
VER,0 days 00:02:15.277000,5.0,MEDIUM,26.0
VER,0 days 00:01:42.482000,5.0,MEDIUM,27.0
VER,0 days 00:01:52.083000,5.0,MEDIUM,28.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:14.537000,1.0,MEDIUM,2.0
NOR,0 days 00:01:50.875000,1.0,MEDIUM,3.0
NOR,0 days 00:01:12.641000,1.0,MEDIUM,4.0
NOR,0 days 00:01:45.959000,1.0,MEDIUM,5.0
NOR,0 days 00:01:12.752000,1.0,MEDIUM,6.0
NOR,0 days 00:01:53.495000,1.0,MEDIUM,7.0
NOR,0 days 00:01:22.524000,1.0,MEDIUM,8.0
NOR,,2.0,MEDIUM,9.0
NOR,0 days 00:01:28.580000,2.0,MEDIUM,10.0
NOR,0 days 00:01:21.920000,2.0,MEDIUM,11.0
NOR,0 days 00:01:56.571000,2.0,MEDIUM,12.0
NOR,0 days 00:01:55.589000,2.0,MEDIUM,13.0
NOR,0 days 00:01:20.064000,2.0,MEDIUM,14.0
NOR,0 days 00:01:13.995000,2.0,MEDIUM,15.0
NOR,0 days 00:01:13.997000,2.0,MEDIUM,16.0
NOR,0 days 00:01:14.456000,2.0,MEDIUM,17.0
NOR,0 days 00:01:22.628000,2.0,MEDIUM,18.0
NOR,0 days 00:01:40.179000,3.0,MEDIUM,19.0
NOR,0 days 00:01:14.749000,3.0,MEDIUM,20.0
NOR,0 days 00:01:18.161000,3.0,MEDIUM,21.0
NOR,0 days 00:01:21.515000,3.0,MEDIUM,22.0
NOR,,4.0,SOFT,1.0
NOR,0 days 00:01:10.831000,4.0,SOFT,2.0
NOR,0 days 00:02:00.540000,4.0,SOFT,3.0
NOR,0 days 00:02:21.830000,5.0,SOFT,4.0
NOR,0 days 00:01:10.610000,5.0,SOFT,5.0
NOR,0 days 00:01:50.012000,5.0,SOFT,6.0
NOR,0 days 00:01:56.333000,5.0,SOFT,7.0
GAS,,1.0,MEDIUM,1.0
GAS,0 days 00:01:38.706000,1.0,MEDIUM,2.0
GAS,0 days 00:01:13.496000,1.0,MEDIUM,3.0
GAS,0 days 00:02:13.051000,1.0,MEDIUM,4.0
GAS,0 days 00:01:57.582000,1.0,MEDIUM,5.0
GAS,0 days 00:01:41.788000,1.0,MEDIUM,6.0
