driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:39.497000,1.0,MEDIUM,2.0
VER,0 days 00:02:22.158000,1.0,MEDIUM,3.0
VER,0 days 00:01:39.110000,1.0,MEDIUM,4.0
VER,,1.0,MEDIUM,5.0
VER,0 days 00:01:38.498000,1.0,MEDIUM,6.0
VER,,1.0,MEDIUM,7.0
VER,,2.0,MEDIUM,8.0
VER,0 days 00:01:42.280000,2.0,MEDIUM,9.0
VER,0 days 00:01:42.038000,2.0,MEDIUM,10.0
VER,0 days 00:01:42.277000,2.0,MEDIUM,11.0
VER,0 days 00:01:42.697000,2.0,MEDIUM,12.0
VER,0 days 00:01:42.128000,2.0,MEDIUM,13.0
VER,0 days 00:01:42.308000,2.0,MEDIUM,14.0
VER,0 days 00:01:42.961000,2.0,MEDIUM,15.0
VER,0 days 00:01:42.549000,2.0,MEDIUM,16.0
VER,0 days 00:01:57.345000,2.0,MEDIUM,17.0
VER,,3.0,SOFT,1.0
VER,0 days 00:01:36.660000,3.0,SOFT,2.0
VER,,3.0,SOFT,3.0
VER,,4.0,SOFT,4.0
VER,0 days 00:01:36.687000,4.0,SOFT,5.0
VER,0 days 00:02:01.594000,4.0,SOFT,6.0
VER,0 days 00:02:16.184000,4.0,SOFT,7.0
VER,0 days 00:02:26.610000,4.0,SOFT,8.0
SAR,,1.0,MEDIUM,1.0
SAR,0 days 00:01:44.457000,1.0,MEDIUM,2.0
SAR,0 days 00:02:14.421000,1.0,MEDIUM,3.0
SAR,0 days 00:01:40.862000,1.0,MEDIUM,4.0
SAR,,1.0,MEDIUM,5.0
SAR,,2.0,MEDIUM,6.0
SAR,0 days 00:01:43.128000,2.0,MEDIUM,7.0
SAR,0 days 00:01:42.268000,2.0,MEDIUM,8.0
SAR,0 days 00:01:42.918000,2.0,MEDIUM,9.0
SAR,0 days 00:01:42.813000,2.0,MEDIUM,10.0
SAR,0 days 00:01:43.821000,2.0,MEDIUM,11.0
SAR,0 days 00:01:43.636000,2.0,MEDIUM,12.0
SAR,0 days 00:01:49.057000,2.0,MEDIUM,13.0
SAR,0 days 00:02:06.197000,3.0,MEDIUM,14.0
SAR,,4.0,SOFT,1.0
SAR,0 days 00:01:38.317000,4.0,SOFT,2.0
SAR,0 days 00:02:20.511000,4.0,SOFT,3.0
SAR,0 days 00:02:21.890000,4.0,SOFT,4.0
