driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
PER,Red Bull Racing,3.0,finished,0
LEC,Ferrari,4.0,finished,0
SAI,Ferrari,5.0,finished,0
RUS,Mercedes,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
PIA,McLaren,8.0,finished,0
HAM,Mercedes,9.0,finished,0
HUL,Haas F1 Team,10.0,finished,0
OCO,Alpine,11.0,finished,0
ALB,Williams,12.0,finished,0
GAS,Alpine,13.0,finished,0
ZHO,Kick Sauber,14.0,finished,0
STR,Aston Martin,15.0,finished,0
MAG,Haas F1 Team,16.0,finished,0
SAR,Williams,17.0,finished,0
RIC,RB,,retired,1
TSU,RB,,retired,1
BOT,Kick Sauber,,retired,1
