driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:11.377000,0 days 00:01:10.496000,0 days 00:01:09.673000
VER,1,Red Bull Racing,2.0,0 days 00:01:11.393000,0 days 00:01:10.811000,0 days 00:01:10.029000
PIA,81,McLaren,3.0,0 days 00:01:11.541000,0 days 00:01:10.505000,0 days 00:01:10.172000
RUS,63,Mercedes,4.0,0 days 00:01:11.049000,0 days 00:01:10.552000,0 days 00:01:10.244000
PER,11,Red Bull Racing,5.0,0 days 00:01:11.006000,0 days 00:01:10.678000,0 days 00:01:10.416000
LEC,16,Ferrari,6.0,0 days 00:01:11.370000,0 days 00:01:10.689000,0 days 00:01:10.582000
ALO,14,Aston Martin,7.0,0 days 00:01:11.493000,0 days 00:01:10.845000,0 days 00:01:10.633000
STR,18,Aston Martin,8.0,0 days 00:01:11.518000,0 days 00:01:10.661000,0 days 00:01:10.857000
GAS,10,Alpine,9.0,0 days 00:01:11.718000,0 days 00:01:10.815000,0 days 00:01:10.977000
SAI,55,Ferrari,10.0,0 days 00:01:11.327000,0 days 00:01:10.914000,
ALB,23,Williams,10.0,,0 days 00:01:10.768000,0 days 00:01:10.653000
HAM,44,Mercedes,11.0,0 days 00:01:11.375000,0 days 00:01:10.948000,
TSU,22,RB,12.0,0 days 00:01:11.603000,0 days 00:01:10.955000,
HUL,27,Haas F1 Team,13.0,0 days 00:01:11.832000,0 days 00:01:11.215000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:11.630000,0 days 00:01:11.295000,
RIC,3,RB,15.0,0 days 00:01:11.943000,,
OCO,31,Alpine,16.0,0 days 00:01:11.995000,,
BOT,77,Kick Sauber,17.0,0 days 00:01:12.168000,,
ZHO,24,Kick Sauber,18.0,0 days 00:01:13.261000,,
SAR,2,Williams,20.0,,,
