driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:15.762000,0 days 00:01:15.176000,0 days 00:01:14.746000
PIA,81,McLaren,2.0,0 days 00:01:15.940000,0 days 00:01:15.407000,0 days 00:01:14.820000
NOR,4,McLaren,3.0,0 days 00:01:15.915000,0 days 00:01:15.371000,0 days 00:01:14.837000
LEC,16,Ferrari,4.0,0 days 00:01:15.823000,0 days 00:01:15.328000,0 days 00:01:14.970000
SAI,55,Ferrari,5.0,0 days 00:01:16.015000,0 days 00:01:15.512000,0 days 00:01:15.233000
RUS,63,Mercedes,6.0,0 days 00:01:16.107000,0 days 00:01:15.671000,0 days 00:01:15.234000
TSU,22,RB,7.0,0 days 00:01:15.894000,0 days 00:01:15.358000,0 days 00:01:15.465000
HAM,44,Mercedes,8.0,0 days 00:01:16.604000,0 days 00:01:15.677000,0 days 00:01:15.504000
RIC,3,RB,9.0,0 days 00:01:16.060000,0 days 00:01:15.691000,0 days 00:01:15.674000
HUL,27,Haas F1 Team,10.0,0 days 00:01:15.841000,0 days 00:01:15.569000,0 days 00:01:15.980000
PER,11,Red Bull Racing,11.0,0 days 00:01:16.404000,0 days 00:01:15.706000,
OCO,31,Alpine,12.0,0 days 00:01:16.361000,0 days 00:01:15.906000,
STR,18,Aston Martin,13.0,0 days 00:01:16.458000,0 days 00:01:15.992000,
ALB,23,Williams,14.0,0 days 00:01:16.524000,0 days 00:01:16.200000,
GAS,10,Alpine,15.0,0 days 00:01:16.015000,0 days 00:01:16.381000,
BOT,77,Kick Sauber,16.0,0 days 00:01:16.626000,,
ZHO,24,Kick Sauber,17.0,0 days 00:01:16.834000,,
MAG,20,Haas F1 Team,18.0,0 days 00:01:16.854000,,
ALO,14,Aston Martin,19.0,0 days 00:01:16.917000,,
SAR,2,Williams,20.0,,,
