driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:02:07.090000,1.0,MEDIUM,2.0
VER,0 days 00:02:16.175000,1.0,MEDIUM,3.0
VER,0 days 00:01:21.610000,1.0,MEDIUM,4.0
VER,0 days 00:01:48.964000,1.0,MEDIUM,5.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:31.983000,2.0,SOFT,2.0
VER,,2.0,SOFT,3.0
VER,,2.0,SOFT,4.0
VER,,3.0,MEDIUM,6.0
VER,0 days 00:01:25.350000,3.0,MEDIUM,7.0
VER,0 days 00:01:25.354000,3.0,MEDIUM,8.0
VER,0 days 00:01:25.459000,3.0,MEDIUM,9.0
VER,0 days 00:01:25.019000,3.0,MEDIUM,10.0
VER,0 days 00:01:24.767000,3.0,MEDIUM,11.0
VER,0 days 00:01:24.765000,3.0,MEDIUM,12.0
VER,0 days 00:01:24.768000,3.0,MEDIUM,13.0
VER,0 days 00:01:29.144000,3.0,MEDIUM,14.0
VER,0 days 00:01:25.435000,3.0,MEDIUM,15.0
VER,0 days 00:01:26.347000,3.0,MEDIUM,16.0
VER,0 days 00:01:27.365000,3.0,MEDIUM,17.0
VER,0 days 00:01:26.723000,3.0,MEDIUM,18.0
VER,0 days 00:02:08.855000,3.0,MEDIUM,19.0
VER,0 days 00:02:15.371000,3.0,MEDIUM,20.0
RIC,,1.0,SOFT,1.0
RIC,0 days 00:01:21.842000,1.0,SOFT,2.0
RIC,0 days 00:02:14.058000,1.0,SOFT,3.0
RIC,,2.0,SOFT,4.0
RIC,0 days 00:01:22.846000,2.0,SOFT,5.0
RIC,0 days 00:01:35.034000,2.0,SOFT,6.0
RIC,,3.0,SOFT,1.0
RIC,0 days 00:01:21.300000,3.0,SOFT,2.0
RIC,0 days 00:02:15.240000,3.0,SOFT,3.0
RIC,,4.0,SOFT,4.0
RIC,,5.0,SOFT,7.0
RIC,0 days 00:01:25.897000,5.0,SOFT,8.0
RIC,0 days 00:01:25.933000,5.0,SOFT,9.0
RIC,0 days 00:01:26.157000,5.0,SOFT,10.0
RIC,0 days 00:01:26.476000,5.0,SOFT,11.0
RIC,0 days 00:01:26.644000,5.0,SOFT,12.0
RIC,0 days 00:01:28.360000,5.0,SOFT,13.0
RIC,0 days 00:01:36.512000,5.0,SOFT,14.0
RIC,0 days 00:01:52.196000,6.0,SOFT,5.0
RIC,0 days 00:01:50.948000,7.0,SOFT,6.0
RIC,0 days 00:01:25.448000,7.0,SOFT,7.0
RIC,0 days 00:02:29.402000,7.0,SOFT,8.0
RIC,0 days 00:02:15.181000,7.0,SOFT,9.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:21.605000,1.0,MEDIUM,2.0
NOR,0 days 00:01:50.380000,1.0,MEDIUM,3.0
NOR,,2.0,SOFT,1.0
NOR,0 days 00:01:20.851000,2.0,SOFT,2.0
NOR,0 days 00:02:06.840000,2.0,SOFT,3.0
NOR,0 days 00:02:24.261000,3.0,SOFT,4.0
NOR,0 days 00:01:20.741000,3.0,SOFT,5.0
NOR,0 days 00:01:44.995000,3.0,SOFT,6.0
NOR,,4.0,MEDIUM,4.0
NOR,0 days 00:01:25.606000,4.0,MEDIUM,5.0
NOR,0 days 00:01:25.605000,4.0,MEDIUM,6.0
NOR,0 days 00:01:25.005000,4.0,MEDIUM,7.0
NOR,0 days 00:01:24.988000,4.0,MEDIUM,8.0
NOR,0 days 00:01:24.895000,4.0,MEDIUM,9.0
NOR,0 days 00:01:26.263000,4.0,MEDIUM,10.0
NOR,0 days 00:01:24.741000,4.0,MEDIUM,11.0
NOR,0 days 00:01:26.481000,4.0,MEDIUM,12.0
NOR,0 days 00:01:25.489000,4.0,MEDIUM,13.0
NOR,0 days 00:01:26.056000,4.0,MEDIUM,14.0
NOR,0 days 00:01:45.694000,4.0,MEDIUM,15.0
NOR,0 days 00:01:55.147000,4.0,MEDIUM,16.0
