driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:19.911000,0 days 00:01:19.727000,0 days 00:01:19.327000
PIA,81,McLaren,2.0,0 days 00:01:20.076000,0 days 00:01:19.808000,0 days 00:01:19.436000
RUS,63,Mercedes,3.0,0 days 00:01:20.169000,0 days 00:01:19.877000,0 days 00:01:19.440000
LEC,16,Ferrari,4.0,0 days 00:01:20.074000,0 days 00:01:20.007000,0 days 00:01:19.461000
SAI,55,Ferrari,5.0,0 days 00:01:20.149000,0 days 00:01:19.799000,0 days 00:01:19.467000
HAM,44,Mercedes,6.0,0 days 00:01:20.477000,0 days 00:01:19.641000,0 days 00:01:19.513000
VER,1,Red Bull Racing,7.0,0 days 00:01:20.226000,0 days 00:01:19.662000,0 days 00:01:20.022000
PER,11,Red Bull Racing,8.0,0 days 00:01:20.598000,0 days 00:01:20.216000,0 days 00:01:20.062000
ALB,23,Williams,9.0,0 days 00:01:20.542000,0 days 00:01:20.314000,0 days 00:01:20.299000
HUL,27,Haas F1 Team,10.0,0 days 00:01:20.781000,0 days 00:01:20.411000,0 days 00:01:20.339000
ALO,14,Aston Martin,11.0,0 days 00:01:20.617000,0 days 00:01:20.421000,
RIC,3,RB,12.0,0 days 00:01:20.901000,0 days 00:01:20.479000,
MAG,20,Haas F1 Team,13.0,0 days 00:01:20.856000,0 days 00:01:20.698000,
GAS,10,Alpine,14.0,0 days 00:01:20.748000,0 days 00:01:20.738000,
OCO,31,Alpine,15.0,0 days 00:01:20.764000,0 days 00:01:20.766000,
TSU,22,RB,16.0,0 days 00:01:20.945000,,
STR,18,Aston Martin,17.0,0 days 00:01:21.013000,,
COL,43,Williams,18.0,0 days 00:01:21.061000,,
BOT,77,Kick Sauber,19.0,0 days 00:01:21.101000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:21.445000,,
