driver,LapTime,Stint,Compound,TyreLife
VER,,1.0,MEDIUM,1.0
VER,0 days 00:01:54.872000,1.0,MEDIUM,2.0
VER,0 days 00:01:37.103000,1.0,MEDIUM,3.0
VER,0 days 00:02:07.078000,1.0,MEDIUM,4.0
VER,0 days 00:01:36.340000,1.0,MEDIUM,5.0
VER,0 days 00:01:59.801000,1.0,MEDIUM,6.0
VER,0 days 00:01:50.861000,1.0,MEDIUM,7.0
VER,0 days 00:01:43.301000,1.0,MEDIUM,8.0
VER,0 days 00:01:35.834000,1.0,MEDIUM,9.0
VER,0 days 00:01:53.408000,1.0,MEDIUM,10.0
VER,,2.0,SOFT,1.0
VER,0 days 00:01:44.523000,2.0,SOFT,2.0
VER,,2.0,SOFT,3.0
VER,,3.0,MEDIUM,11.0
VER,0 days 00:01:39.524000,3.0,MEDIUM,12.0
VER,0 days 00:01:38.955000,3.0,MEDIUM,13.0
VER,0 days 00:01:38.504000,3.0,MEDIUM,14.0
VER,0 days 00:01:38.187000,3.0,MEDIUM,15.0
VER,0 days 00:01:38.521000,3.0,MEDIUM,16.0
VER,0 days 00:01:48.285000,3.0,MEDIUM,17.0
VER,0 days 00:01:41.341000,3.0,MEDIUM,18.0
VER,0 days 00:01:39.477000,3.0,MEDIUM,19.0
VER,0 days 00:01:40.104000,3.0,MEDIUM,20.0
VER,0 days 00:02:22.704000,3.0,MEDIUM,21.0
VER,0 days 00:02:21.379000,3.0,MEDIUM,22.0
NOR,,1.0,MEDIUM,1.0
NOR,0 days 00:01:40.005000,1.0,MEDIUM,2.0
NOR,0 days 00:02:00.729000,1.0,MEDIUM,3.0
NOR,0 days 00:01:38.012000,1.0,MEDIUM,4.0
NOR,0 days 00:01:35.406000,1.0,MEDIUM,5.0
NOR,0 days 00:02:07.687000,1.0,MEDIUM,6.0
NOR,0 days 00:01:40.723000,1.0,MEDIUM,7.0
NOR,,2.0,MEDIUM,20.0
NOR,0 days 00:01:40.056000,2.0,MEDIUM,21.0
NOR,0 days 00:02:14.633000,3.0,SOFT,1.0
NOR,0 days 00:01:33.836000,3.0,SOFT,2.0
NOR,0 days 00:02:17.905000,3.0,SOFT,3.0
NOR,,3.0,SOFT,4.0
NOR,,4.0,MEDIUM,8.0
NOR,0 days 00:01:38.834000,4.0,MEDIUM,9.0
NOR,0 days 00:01:38.208000,4.0,MEDIUM,10.0
NOR,0 days 00:01:43.879000,4.0,MEDIUM,11.0
NOR,0 days 00:01:38.773000,4.0,MEDIUM,12.0
NOR,0 days 00:01:41.144000,4.0,MEDIUM,13.0
NOR,0 days 00:01:40.794000,4.0,MEDIUM,14.0
NOR,0 days 00:01:46.449000,4.0,MEDIUM,15.0
NOR,0 days 00:01:45.187000,4.0,MEDIUM,16.0
NOR,0 days 00:01:55.136000,5.0,SOFT,5.0
